Primary star name(from standardize_OEC_star.csv),star_name(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),star_mass(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),star_mass_error_min(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),star_mass_error_max(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),star_radius(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),star_radius_error_min(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),star_radius_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),star_age(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),star_metallicity(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),star_metallicity_error_min(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),star_metallicity_error_max(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),star_teff(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),star_teff_error_min(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),star_teff_error_max(from standardize_EU_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),mag_v(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),Visual magnitude errorminus(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),Visual magnitude errorplus(from standardize_EU_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_EU_Catalogue_Star_Data.csv)
Kepler-215,Kepler-215,0.9770,0.77,0.0750,,0.0750,,1.027,1.03,.236,0.24,0.236,0.24,,,,,,,,,,,,-0.618,,,,,,,64,164.0,,,,,,,,,,,Kepler-215.xml,
Kepler-216,Kepler-216,1.1290,,0.0800,,0.0800,,,,.243,0.24,0.243,0.24,,,,,,,,,,,,-0.183,,,,,,,20,120.0,,,,,,,,,,,Kepler-216.xml,
Kepler-217,Kepler-217,1.3830,,,,,,1.799,1.8,.256,0.26,0.256,0.26,,,,,,,,,,,,,,,,,,,09,109.0,,,,,,,,,,,Kepler-217.xml,
Kepler-218,Kepler-218,1.0190,,0.0210,,0.0210,,1.063,1.06,.083,0.08,0.083,0.08,,,,,,,,,,,,0.194,,,,,,,4,74.0,,,,,,,,,,,Kepler-218.xml,
Kepler-219,Kepler-219,1.1710,,0.0610,,0.0610,,1.491,1.49,.249,0.25,0.249,0.25,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,Kepler-219.xml,
Kepler-22,Kepler-22,,,,0.06,,0.06,,,,0.02,,0.02,,,,,,,,,,,,-0.29,,0.06,,0.06,5510.0,5518.0,,44.0,,44.0,g5,,,12.0,,,,,Kepler-22.xml,
Kepler-220,Kepler-220,0.7170,,0.0240,,0.0240,,0.666,0.67,.034,0.03,0.034,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kepler-220.xml,
Kepler-221,Kepler-221,0.8160,0.72,0.0330,,0.0330,,0.821,0.82,.075,0.07,0.075,0.07,,,,,,,,,,,,-0.413,,,,,,,,,,,,,,,,,,,Kepler-221.xml,
Kepler-222,Kepler-222,0.8570,,0.0500,,0.0500,,0.869,0.87,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,Kepler-222.xml,
Kepler-223,Kepler-223,0.9500,,0.1100,,0.1100,,1.017,1.02,.438,0.44,0.438,0.44,,,,,,,,,,,,-0.211,,,,,,,,,,,,,15,,,,,,Kepler-223.xml,
Kepler-224,Kepler-224,0.8250,0.74,0.0310,,0.0310,,0.676,0.68,.038,0.04,0.038,0.04,,,,,,,,,,,,-0.309,,,,,,,,,,,,,,,,,,,Kepler-224.xml,
Kepler-225,Kepler-225,,,,,,,,,,,,,,,,,,,,,,,,-0.185,,,,,,,50,150.0,,,,,,,,,,,Kepler-225.xml,
Kepler-226,Kepler-226,0.9120,0.86,0.0370,,0.0370,,0.802,0.8,.318,0.32,0.318,0.32,,,,,,,,,,,,-0.145,,,,,,,,,,,,,,,,,,,Kepler-226.xml,
Kepler-227,Kepler-227,0.9200,,0.1100,,0.1100,,1.091,1.09,.547,0.55,0.547,0.55,,,,,,,,,,,,0.136,,,,,,,,,,,,,,,,,,,Kepler-227.xml,
Kepler-228,Kepler-228,1.0400,,0.1100,,0.1100,,1.014,1.01,.465,0.47,0.465,0.47,,,,,,,,,,,,-0.067,,,,,,,,,,,,,,,,,,,Kepler-228.xml,
Kepler-229,Kepler-229,0.7940,,0.0880,,0.0880,,0.728,0.73,.257,0.26,0.257,0.26,,,,,,,,,,,,-0.109,,,,,,,,,,,,,,,,,,,Kepler-229.xml,
Kepler-23,Kepler-23,1.1900,1.11,0.1300,,0.1300,,1.548,1.52,0.048,0.3,0.048,0.3,,,,,,,,,,,,,,,,,5828,5760.0,100,124.0,100,124.0,,,,14.0,,,,,Kepler-23.xml,
Kepler-230,Kepler-230,0.9180,,0.0520,,0.0520,,0.817,0.82,.415,0.41,0.415,0.41,,,,,,,,,,,,-0.291,,,,,,,,,,,,,,,,,,,Kepler-230.xml,
Kepler-231,Kepler-231,,,0.0140,,0.0140,,,,.021,0.02,0.021,0.02,,,,,,,,,,,,-0.011,,,,,,,50,150.0,,,,,,,,,,,Kepler-231.xml,
Kepler-232,Kepler-232,0.9640,,0.1000,,0.1000,,0.968,0.97,,,,,,,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,Kepler-232.xml,
Kepler-233,Kepler-233,0.8550,,0.0240,,0.0240,,0.758,0.76,.206,0.21,0.206,0.21,,,,,,,,,,,,-0.067,,,,,,,,,,,,,,,,,,,Kepler-233.xml,
Kepler-234,Kepler-234,1.0900,,0.1100,,0.1100,,1.113,1.11,.495,0.49,0.495,0.49,,,,,,,,,,,,0.075,,,,,,,,,,,,,,,,,,,Kepler-234.xml,
Kepler-235,Kepler-235,0.5810,0.59,0.0180,,0.0180,,0.554,0.55,.021,0.02,0.021,0.02,,,,,,,,,,,,0.087,,,,,,,,,,,,,,,,,,,Kepler-235.xml,
Kepler-236,Kepler-236,0.5490,0.56,0.0370,,0.0370,,,,.019,0.02,0.019,0.02,,,,,,,,,,,,0.119,,,,,,,50,150.0,,,,,,,,,,,Kepler-236.xml,
Kepler-237,Kepler-237,0.6960,0.7,0.0170,,0.0170,,0.725,0.72,.383,0.38,0.383,0.38,,,,,,,,,,,,-0.077,,,,,,,,,,,,,,,,,,,Kepler-237.xml,
Kepler-238,Kepler-238,0.9700,1.43,0.3300,5.82,0.3300,1.31,1.430,0.9,.264,0.3,0.264,0.3,,,,,,,,,,,,0.143,,,,,5751,5614.0,100,,100,,,,,,,,,,Kepler-238.xml,
Kepler-239,Kepler-239,0.7570,0.74,0.0190,,0.0190,,0.763,0.76,.044,0.04,0.044,0.04,,,,,,,,,,,,-0.016,,,,,,,,,,,,,,,,,,,Kepler-239.xml,
Kepler-24,Kepler-24,1.0200,1.03,0.1900,0.14,0.1900,0.14,1.289,1.07,.291,0.23,0.291,0.23,,,,,,,,,,,,,,,,,5897,5800.0,19,200.0,219,200.0,,,,15.5,,,,,Kepler-24.xml,
Kepler-240,Kepler-240,0.7530,,0.0220,,0.0220,,0.739,0.74,.299,0.3,0.299,0.3,,,,,,,,,,,,0.089,,,,,,,,,,,,,,,,,,,Kepler-240.xml,
Kepler-241,Kepler-241,0.6710,,0.0170,,0.0170,,0.668,0.67,.289,0.29,0.289,0.29,,,,,,,,,,,,-0.243,,,,,,,,,,,,,,,,,,,Kepler-241.xml,
Kepler-242,Kepler-242,0.7200,,0.0860,,0.0860,,,,.522,0.52,0.522,0.52,,,,,,,,,,,,0.103,,,,,,,,,,,,,,,,,,,Kepler-242.xml,
Kepler-243,Kepler-243,0.7890,0.89,0.0700,,0.0700,,0.842,0.84,.398,0.4,0.398,0.4,,,,,,,,,,,,0.241,,,,,,,,,,,,,,,,,,,Kepler-243.xml,
Kepler-244,Kepler-244,0.9100,,0.0900,,0.0900,,0.803,0.8,.338,0.34,0.338,0.34,,,,,,,,,,,,-0.191,,,,,,,,,,,,,,,,,,,Kepler-244.xml,
Kepler-245,Kepler-245,0.7770,0.8,0.0640,,0.0640,,0.795,0.8,.053,0.05,0.053,0.05,,,,,,,,,,,,-0.028,,,,,,,,,,,,,,,,,,,Kepler-245.xml,
Kepler-246,Kepler-246,0.7590,0.86,0.0660,,0.0660,,0.831,0.83,.422,0.42,0.422,0.42,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,Kepler-246.xml,
Kepler-247,Kepler-247,0.7730,0.884,0.0430,0.089,0.0430,0.047,0.768,0.791,.214,0.053,0.214,0.106,,,,,,,,,,,,0.21,,0.29,,0.19,5100,5094.0,200,134.0,200,168.0,,,,,,,,,Kepler-247.xml,
Kepler-248,Kepler-248,,,,,,,0.831,0.83,.099,0.1,0.099,0.1,,,,,,,,,,,,0.171,,,,,,,61,161.0,,,,,15.18,,0.28,,0.28,,Kepler-248.xml,
Kepler-249,Kepler-249,0.5060,,0.0320,,0.0320,,0.482,0.48,.018,0.02,0.018,0.02,,,,,,,,,,,,0.221,,,,,,,50,150.0,,,,,,,,,,,Kepler-249.xml,
Kepler-25,Kepler-25,1.26,1.22,0.03,0.06,0.03,0.06,1.34,1.36,0.01,0.13,0.01,0.13,2.750,,0.300,,0.300,,,,,,0.11,0.01,0.03,0.09,0.03,0.09,6354,6190.0,27,80.0,27,80.0,f,,10.77,11.0,0.06,,0.06,,Kepler-25.xml,
Kepler-250,Kepler-250,0.7530,0.8,0.0850,,0.0850,,0.805,0.81,.462,0.46,0.462,0.46,,,,,,,,,,,,0.063,,,,,,,,,,,,,,,,,,,Kepler-250.xml,
Kepler-251,Kepler-251,0.9600,0.91,0.1100,,0.1100,,,,.155,0.15,0.155,0.15,,,,,,,,,,,,-0.156,,,,,,,,,,,,,,,,,,,Kepler-251.xml,
Kepler-252,Kepler-252,0.6100,0.52,0.0150,,0.0150,,0.549,0.55,.032,0.03,0.032,0.03,,,,,,,,,,,,-0.67,,,,,,,50,150.0,,,,,,,,,,,Kepler-252.xml,
Kepler-253,Kepler-253,0.8080,,0.0910,,0.0910,,0.786,0.79,.322,0.32,0.322,0.32,,,,,,,,,,,,0.052,,,,,,,,,,,,,,,,,,,Kepler-253.xml,
Kepler-254,Kepler-254,1.0210,,0.0590,,0.0590,,,,.433,0.43,0.433,0.43,,,,,,,,,,,,-0.191,,,,,,,,,,,,,,,,,,,Kepler-254.xml,
Kepler-255,Kepler-255,0.8780,0.97,0.0650,,0.0650,,0.933,0.93,.368,0.37,0.368,0.37,,,,,,,,,,,,0.212,,,,,,,,,,,,,,,,,,,Kepler-255.xml,
Kepler-256,Kepler-256,1.0000,1.02,0.1100,,0.1100,,1.301,1.3,.316,0.32,0.316,0.32,,,,,,,,,,,,0.061,,,,,,,11,111.0,,,,,,,,,,,Kepler-256.xml,
Kepler-257,Kepler-257,0.7400,,0.1400,,0.1400,,1.037,1.04,.518,0.52,0.518,0.52,,,,,,,,,,,,0.315,,,,,,,,,,,,,,,,,,,Kepler-257.xml,
Kepler-258,Kepler-258,0.7000,0.8,0.1100,,0.1100,,0.915,0.92,.611,0.61,0.611,0.61,,,,,,,,,,,,0.415,,,,,,,,,,,,,,,,,,,Kepler-258.xml,
Kepler-259,Kepler-259,1.0150,,0.0690,,0.0690,,0.898,0.9,.435,0.43,0.435,0.43,,,,,,,,,,,,-0.165,,,,,,,,,,,,,,,,,,,Kepler-259.xml,
Kepler-26,Kepler-26,0.6340,0.65,0.0270,0.03,0.0270,0.03,0.571,0.59,.027,0.03,0.027,0.03,,,,,,,,,,,,-0.21,,0.08,,0.08,4486,4500.0,16,100.0,116,100.0,,,,16.0,,,,,Kepler-26.xml,
Kepler-260,Kepler-260,0.9000,0.88,0.1000,,0.1000,,0.862,0.86,.233,0.23,0.233,0.23,,,,,,,,,,,,-0.034,,,,,,,57,257.0,,,,,,,,,,,Kepler-260.xml,
Kepler-261,Kepler-261,0.8760,0.87,0.0300,,0.0300,,0.794,0.79,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,Kepler-261.xml,
Kepler-262,Kepler-262,,,,,,,0.881,0.88,.361,0.36,0.361,0.36,,,,,,,,,,,,-0.115,,,,,,,,,,,,,,,,,,,Kepler-262.xml,
Kepler-263,Kepler-263,0.8010,,0.0370,,0.0370,,0.785,0.79,.427,0.43,0.427,0.43,,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,,,,,Kepler-263.xml,
Kepler-264,Kepler-264,1.3700,1.32,0.1500,,0.1500,,,,.314,0.31,0.314,0.31,,,,,,,,,,,,-0.19,,,,,,,,,,,,,,,,,,,Kepler-264.xml,
Kepler-265,Kepler-265,1.1500,1.03,0.1100,,0.1100,,1.103,1.1,.228,0.23,0.228,0.23,,,,,,,,,,,,-0.311,,,,,,,18,118.0,,,,,,,,,,,Kepler-265.xml,
Kepler-266,Kepler-266,1.0600,0.99,0.3000,,0.3000,,1.028,1.03,.498,0.5,0.498,0.5,,,,,,,,,,,,0.106,,,,,,,50,250.0,,,,,,,,,,,Kepler-266.xml,
Kepler-267,Kepler-267,0.5520,0.56,0.0380,,0.0380,,0.555,0.56,.021,0.02,0.021,0.02,,,,,,,,,,,,0.028,,,,,,,,,,,,,,,,,,,Kepler-267.xml,
Kepler-268,Kepler-268,1.1300,,0.1200,,0.1200,,1.274,1.27,.234,0.23,0.234,0.23,,,,,,,,,,,,-0.114,,,,,,,,,,,,,,,,,,,Kepler-268.xml,
Kepler-269,Kepler-269,1.0400,0.98,0.3000,,0.3000,,0.959,0.96,.429,0.43,0.429,0.43,,,,,,,,,,,,0.02,,,,,,,50,250.0,,,,,,,,,,,Kepler-269.xml,
Kepler-27,Kepler-27,,,,0.16,,0.16,,,,0.15,,0.15,,,,,,,,,,,,,,0.04,,0.04,,,,60.0,,60.0,,,,,,,,,Kepler-27.xml,
Kepler-270,Kepler-270,1.1700,,0.1400,,0.1400,,1.461,1.46,.284,0.28,0.284,0.28,,,,,,,,,,,,-0.151,,,,,,,,,,,,,,,,,,,Kepler-270.xml,
Kepler-271,Kepler-271,,,,,,,,,.158,0.16,0.158,0.16,,,,,,,,,,,,-0.951,,,,,,,,,,,,,,,,,,,Kepler-271.xml,
Kepler-272,Kepler-272,,,0.1700,,0.1700,,0.929,0.93,.497,0.5,0.497,0.5,,,,,,,,,,,,-0.161,,,,,,,,,,,,,,,,,,,Kepler-272.xml,
Kepler-273,Kepler-273,0.9160,,0.0600,,0.0600,,0.815,0.81,.464,0.46,0.464,0.46,,,,,,,,,,,,-0.478,,,,,,,,,,,,,,,,,,,Kepler-273.xml,
Kepler-274,Kepler-274,,,,,,,1.007,1.01,.541,0.54,0.541,0.54,,,,,,,,,,,,-0.188,,,,,,,,,,,,,,,,,,,Kepler-274.xml,
Kepler-275,Kepler-275,1.1980,1.24,0.0700,,0.0700,,1.383,1.38,.258,0.26,0.258,0.26,,,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,Kepler-275.xml,
Kepler-276,Kepler-276,1.0500,0.96,0.1300,0.42,0.1300,0.29,1.046,0.95,.485,0.05,0.485,0.05,,,,,,,,,,,,0.012,,,,,6105,5812.0,200,,200,,,,,,,,,,Kepler-276.xml,
Kepler-277,Kepler-277,,,0.37,0.49,0.49,0.37,,,,,,,5.0000,,1.0000,,1.0000,,,,,,,-0.315,,,,,5946.00,6306.0,56.00,,56.00,,,,,13.4,,,,,Kepler-277.xml,
Kepler-278,Kepler-278,1.0790,,0.0690,,0.0690,,2.935,2.94,0.066,0.07,0.066,0.07,,,,,,,,,,,0.28,0.422,0.10,,0.10,,,,,,,,,,11.81,,0.14,,0.14,,Kepler-278.xml,
Kepler-279,Kepler-279,1.3100,1.23,0.1400,2.18,0.1400,0.89,1.746,1.27,.315,0.52,0.315,0.52,,,,,,,,,,,,-0.57,,,,,6363,6562.0,59,,259,,,,,13.7,,,,,Kepler-279.xml,
Kepler-28,Kepler-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k4v,,,15.5,,,,,Kepler-28.xml,
Kepler-280,Kepler-280,0.9570,0.91,0.0560,,0.0560,,0.886,0.89,.426,0.43,0.426,0.43,,,,,,,,,,,,-0.169,,,,,,,,,,,,,,,,,,,Kepler-280.xml,
Kepler-281,Kepler-281,0.9430,0.98,0.0920,,0.0920,,0.899,0.9,.347,0.35,0.347,0.35,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,Kepler-281.xml,
Kepler-282,Kepler-282,1.0820,1.09,0.0900,0.46,0.0900,0.33,0.904,1.01,.215,0.05,0.215,0.05,,,,,,,,,,,,-0.374,,,,,5602,5876.0,55,,155,,,,,15.2,,,,,Kepler-282.xml,
Kepler-283,Kepler-283,0.5960,,0.0150,,0.0150,,0.566,0.57,.024,0.02,0.024,0.02,,,,,,,,,,,,-0.26,,,,,,,,,,,,,,,,,,,Kepler-283.xml,
Kepler-284,Kepler-284,0.9230,,0.0420,,0.0420,,0.814,0.81,.356,0.36,0.356,0.36,,,,,,,,,,,,-0.145,,,,,,,,,,,,,,,,,,,Kepler-284.xml,
Kepler-285,Kepler-285,0.8650,0.85,0.0600,,0.0600,,0.808,0.81,.348,0.35,0.348,0.35,,,,,,,,,,,,-0.063,,,,,,,,,,,,,,,,,,,Kepler-285.xml,
Kepler-286,Kepler-286,1.0300,,0.1000,,0.1000,,0.863,0.86,.167,0.17,0.167,0.17,,,,,,,,,,,,-0.165,,,,,,,31,131.0,,,,,,,,,,,Kepler-286.xml,
Kepler-287,Kepler-287,0.9300,,0.0950,,0.0950,,1.032,1.03,.466,0.47,0.466,0.47,,,,,,,,,,,,-0.077,,,,,,,,,,,,,,,,,,,Kepler-287.xml,
Kepler-288,Kepler-288,1.0800,0.89,0.3000,,0.3000,,1.091,1.09,.518,0.52,0.518,0.52,,,,,,,,,,,,-0.219,,,,,,,50,250.0,,,,,,,,,,,Kepler-288.xml,
Kepler-289,Kepler-289,,,,,,,,,,,,,,0.65,,0.44,,0.44,,0.44,,0.44,,,,,,,,,,,,,,,,12.9,,,,,Kepler-289.xml,
Kepler-29,Kepler-29,,,,0.12,,0.12,,,,0.14,,0.14,,,,,,,,,,,,0.0,,0.3,,0.3,,,,200.0,,200.0,g5v,,,15.5,,,,,Kepler-29.xml,
Kepler-290,Kepler-290,0.7980,,0.0340,,0.0340,,0.743,0.74,.382,0.38,0.382,0.38,,,,,,,,,,,,-0.061,,,,,,,,,,,,,,,,,,,Kepler-290.xml,
Kepler-291,Kepler-291,1.0100,1.03,0.1000,,0.1000,,1.016,1.02,.441,0.44,0.441,0.44,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,Kepler-291.xml,
Kepler-292,Kepler-292,0.8340,0.88,0.0780,,0.0780,,0.826,0.83,.073,0.07,0.073,0.07,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,,,Kepler-292.xml,
Kepler-293,Kepler-293,0.9530,1.01,0.0630,,0.0630,,0.957,0.96,.398,0.4,0.398,0.4,,,,,,,,,,,,0.134,,,,,,,,,,,,,,,,,,,Kepler-293.xml,
Kepler-294,Kepler-294,0.9940,,0.0980,,0.0980,,0.976,0.98,.455,0.46,0.455,0.46,,,,,,,,,,,,-0.001,,,,,,,,,,,,,,,,,,,Kepler-294.xml,
Kepler-295,Kepler-295,0.8850,,0.0520,,0.0520,,0.898,0.9,.473,0.47,0.473,0.47,,,,,,,,,,,,-0.332,,,,,,,,,,,,,,,,,,,Kepler-295.xml,
Kepler-296 A,Kepler-296,0.498,,0.087,,0.067,,0.480,0.56,0.087,0.02,0.066,0.02,,,,,,,,,,,-0.08,0.168,0.30,,0.28,,3740,4249.0,130,100.0,130,100.0,m2v,,,,,,,,Kepler-296.xml,
Kepler-297,Kepler-297,1.04,,0.12,,0.20,,1.04,0.92,0.10,0.17,0.48,0.17,,,,,,,,,,,,,0.30,,0.22,,6150,5619.0,193,100.0,151,100.0,,,,,,,,,Kepler-297.xml,
Kepler-298,Kepler-298,0.6600,0.65,0.0150,,0.0150,,0.582,0.58,.025,0.03,0.025,0.03,,,,,,,,,,,,-0.121,,,,,,,,,,,,,,,,,,,Kepler-298.xml,
Kepler-299,Kepler-299,1.0010,0.97,0.0680,,0.0680,,1.032,1.03,.208,0.21,0.208,0.21,,,,,,,,,,,,-0.052,,,,,,,12,112.0,,,,,,,,,,,Kepler-299.xml,
Kepler-300,Kepler-30,1.0350,0.99,0.0840,0.08,0.0840,0.08,0.900,0.95,.410,0.12,0.410,0.12,,,,,,,,,,,,0.18,,0.027,,0.027,5986,5498.0,200,54.0,200,54.0,,,,15.5,,,,,Kepler-300.xml,
Kepler-300,Kepler-300,1.0350,0.94,0.0840,,0.0840,,,,,,,,,,,,,,,,,,,-0.238,,,,,,,,,,,,,,,,,,,Kepler-300.xml,
Kepler-301,Kepler-301,0.9700,0.91,0.1100,,0.1100,,,,.481,0.48,0.481,0.48,,,,,,,,,,,,-0.178,,,,,,,,,,,,,,,,,,,Kepler-301.xml,
Kepler-302,Kepler-302,1.0210,,0.0850,,0.0850,,,,.249,0.25,0.249,0.25,,,,,,,,,,,,-0.238,,,,,,,07,107.0,,,,,,,,,,,Kepler-302.xml,
Kepler-303,Kepler-303,0.5750,0.59,0.0160,,0.0160,,0.485,0.48,.025,0.03,0.025,0.03,,,,,,,,,,,,0.102,,,,,,,50,150.0,,,,,,,,,,,Kepler-303.xml,
Kepler-304,Kepler-304,0.6870,0.8,0.0450,,0.0450,,0.687,0.69,.037,0.04,0.037,0.04,,,,,,,,,,,,0.523,,,,,,,,,,,,,,,,,,,Kepler-304.xml,
Kepler-305,Kepler-305,0.9000,0.83,0.3000,1.29,0.3000,0.54,0.794,0.87,.050,0.3,0.050,0.3,,,,,,,,,,,,-0.071,,,,,5100,4918.0,100,,100,,,,,15.8,,,,,Kepler-305.xml,
Kepler-306,Kepler-306,0.9300,0.82,0.3000,,0.3000,,0.719,0.72,.041,0.04,0.041,0.04,,,,,,,,,,,,0.155,,,,,,,,,,,,,,,,,,,Kepler-306.xml,
Kepler-307,Kepler-307,,,0.55,1.36,1.36,0.55,,,,,,,13.5000,,3.6000,,3.6000,,,,,,,0.158,,,,,5577.00,5445.0,105.00,,105.00,,,,,14.1,,,,,Kepler-307.xml,
Kepler-308,Kepler-308,0.9970,,0.0900,,0.0900,,0.941,0.94,.452,0.45,0.452,0.45,,,,,,,,,,,,-0.112,,,,,,,,,,,,,,,,,,,Kepler-308.xml,
Kepler-309,Kepler-309,0.6660,,0.0210,,0.0210,,0.721,0.72,,,,,,,,,,,,,,,,0.415,,,,,,,,,,,,,,,,,,,Kepler-309.xml,
Kepler-31,Kepler-31,1.2080,1.21,0.0870,0.17,0.0870,0.17,1.306,1.22,.302,0.24,0.302,0.24,,,,,,,,,,,,-0.08,,0.4,,0.4,6034,6340.0,68,200.0,168,200.0,,,,15.5,,,,,Kepler-31.xml,
Kepler-310,Kepler-310,0.9700,0.85,0.1300,,0.1300,,0.876,0.88,.406,0.41,0.406,0.41,,,,,,,,,,,,-0.299,,,,,,,,,,,,,,,,,,,Kepler-310.xml,
Kepler-311,Kepler-311,,1.06,,,,,1.188,1.19,,,,,,,,,,,,,,,,-0.057,,,,,,,31,131.0,,,,,,,,,,,Kepler-311.xml,
Kepler-312,Kepler-312,,1.23,,,,,1.467,1.47,.283,0.28,0.283,0.28,,,,,,,,,,,,0.076,,,,,,,,,,,,,,,,,,,Kepler-312.xml,
Kepler-313,Kepler-313,0.9600,0.9,0.1200,,0.1200,,1.536,1.54,.162,0.16,0.162,0.16,,,,,,,,,,,,-0.112,,,,,,,,,,,,,,,,,,,Kepler-313.xml,
Kepler-314,Kepler-314,1.0240,1.02,0.0210,,0.0210,,,,.135,0.14,0.135,0.14,,,,,,,,,,,,0.157,,,,,,,,,,,,,,,,,,,Kepler-314.xml,
Kepler-315,Kepler-315,,0.78,,,,,1.037,1.04,.202,0.2,0.202,0.2,,,,,,,,,,,,-0.403,,,,,,,08,108.0,,,,,,,,,,,Kepler-315.xml,
Kepler-316,Kepler-316,0.5870,0.53,0.0140,,0.0140,,,,.052,0.05,0.052,0.05,,,,,,,,,,,,-0.48,,,,,,,,,,,,,,,,,,,Kepler-316.xml,
Kepler-317,Kepler-317,0.8160,0.95,0.0810,,0.0810,,0.941,0.94,.429,0.43,0.429,0.43,,,,,,,,,,,,0.258,,,,,,,,,,,,,,,,,,,Kepler-317.xml,
Kepler-318,Kepler-318,0.9800,1.05,0.1300,,0.1300,,1.189,1.19,,,,,,,,,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,Kepler-318.xml,
Kepler-319,Kepler-319,0.9600,1.29,0.1100,,0.1100,,0.903,0.9,.125,0.12,0.125,0.12,,,,,,,,,,,,0.487,,,,,,,,,,,,,,,,,,,Kepler-319.xml,
Kepler-32,Kepler-32,,,,0.05,,0.05,,,,0.04,,0.04,,,,,,,,,,,,0.0,,0.4,,0.4,,,,200.0,,200.0,,,,16.0,,,,,Kepler-32.xml,
Kepler-320,Kepler-320,1.1800,,0.1200,,0.1200,,1.108,1.11,.519,0.52,0.519,0.52,,,,,,,,,,,,-0.244,,,,,,,,,,,,,,,,,,,Kepler-320.xml,
Kepler-321,Kepler-321,0.8980,1.01,,,,,1.194,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kepler-321.xml,
Kepler-322,Kepler-322,0.9000,0.91,0.1100,,0.1100,,,,.096,0.1,0.096,0.1,,,,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,Kepler-322.xml,
Kepler-323,Kepler-323,1.1600,1.09,0.1300,,0.1300,,1.178,1.18,.228,0.23,0.228,0.23,,,,,,,,,,,,-0.078,,,,,,,50,150.0,,,,,,,,,,,Kepler-323.xml,
Kepler-324,Kepler-324,0.8500,0.86,0.1500,,0.1500,,,,.072,0.07,0.072,0.07,,,,,,,,,,,,-0.009,,,,,,,,,,,,,,,,,,,Kepler-324.xml,
Kepler-325,Kepler-325,0.9180,0.87,0.0650,,0.0650,,1.003,1.0,.497,0.5,0.497,0.5,,,,,,,,,,,,-0.171,,,,,,,,,,,,,,,,,,,Kepler-325.xml,
Kepler-326,Kepler-326,0.9140,0.98,0.0680,,0.0680,,0.801,0.8,.052,0.05,0.052,0.05,,,,,,,,,,,,0.133,,,,,,,,,,,,,,,,,,,Kepler-326.xml,
Kepler-327,Kepler-327,0.5470,0.55,0.0350,,0.0350,,0.492,0.49,.016,0.02,0.016,0.02,,,,,,,,,,,,-0.042,,,,,,,,,,,,,,,,,,,Kepler-327.xml,
