Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
Kepler-181 c,Kepler-181 c,confirmedplanets,,,,,,,,,,,,0.18135,0.178,0.08931,0.087,0.08931,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-181.xml,
Kepler-182 b,Kepler-182 b,confirmedplanets,,,,,,,,,,,,0.23512,0.23,0.01640,0.105,0.10753,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-182.xml,
Kepler-182 c,Kepler-182 c,confirmedplanets,,,,,,,,,,,,0.31258,0.306,0.04830,0.136,0.13943,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-182.xml,
Kepler-183 b,Kepler-183 b,confirmedplanets,,,,,,,,,,,,0.18773,0.184,0.08111,0.079,0.08111,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-183.xml,
Kepler-183 c,Kepler-183 c,confirmedplanets,,,,,,,,,,,,0.20687,0.203,0.08931,0.087,0.08931,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-183.xml,
Kepler-184 b,Kepler-184 b,confirmedplanets,,,,,,,,,,,,0.21507,0.211,0.03007,0.119,0.12120,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-184.xml,
Kepler-184 c,Kepler-184 c,confirmedplanets,,,,,,,,,,,,0.17953,0.176,0.01002,0.099,0.10115,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-184.xml,
Kepler-184 d,Kepler-184 d,confirmedplanets,,,,,,,,,,,,0.22691,0.222,0.03736,0.126,0.12849,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-184.xml,
Kepler-185 b,Kepler-185 b,confirmedplanets,,,,,,,,,,,,0.10662,0.104,0.06106,0.06,0.06106,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-185.xml,
Kepler-185 c,Kepler-185 c,confirmedplanets,,,,,,,,,,,,0.18408,0.18,0.01549,0.104,0.10662,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-185.xml,
Kepler-186 b,Kepler-186 b,confirmedplanets,,,,,,,,,,,,0.097509,0.102,0.010936,0.008,0.010936,0.008,,,,,3.8867907,3.886803,0.0000063,1e-05,0.0000063,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/04/17,2014-03-06,Kepler-186.xml,
Kepler-186 c,Kepler-186 c,confirmedplanets,,,,,,,,,,,,0.097509,0.12,0.010936,0.009,0.010936,0.009,,,,,7.267301,7.267277,0.000012,1.9e-05,0.000012,1.9e-05,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/04/17,2014-03-06,Kepler-186.xml,
Kepler-186 d,Kepler-186 d,confirmedplanets,,,,,,,,,,,,0.127582,0.139,0.014581,0.014,0.014581,0.014,,,,,13.342996,13.343058,0.000025,4.1e-05,0.000025,4.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/04/17,2014-03-06,Kepler-186.xml,
Kepler-186 e,Kepler-186 e,confirmedplanets,,,,,,,,,,,,0.115735,0.119,0.013670,0.009,0.013670,0.009,,,,,22.407704,22.407793,0.000074,0.000123,0.000074,0.000123,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/04/17,2014-03-06,Kepler-186.xml,
Kepler-186 f,Kepler-186 f,confirmedplanets,,,,,,,,,,,,,,,0.0115978438716101,,0.0124899857078878,0.0115978438716,,0.0124899857079,,,129.9459,,0.0012,,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/04/17,2014-04-18,Kepler-186.xml,
Kepler-187 b,Kepler-187 b,confirmedplanets,,,,,,,,,,,,0.12849,0.126,0.02552,0.025,0.02552,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-187.xml,
Kepler-187 c,Kepler-187 c,confirmedplanets,,,,,,,,,,,,0.24332,0.238,0.04739,0.046,0.04739,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-187.xml,
Kepler-188 b,Kepler-188 b,confirmedplanets,,,,,,,,,,,,0.15310,0.15,0.06926,0.068,0.06926,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-188.xml,
Kepler-188 c,Kepler-188 c,confirmedplanets,,,,,,,,,,,,0.29071,0.285,0.04101,0.129,0.13214,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-188.xml,
Kepler-189 b,Kepler-189 b,confirmedplanets,,,,,,,,,,,,0.11027,0.108,0.05559,0.054,0.05559,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-189.xml,
Kepler-189 c,Kepler-189 c,confirmedplanets,,,,,,,,,,,,0.21689,0.212,0.01731,0.106,0.10845,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-189.xml,
Kepler-19 b,Kepler-19 b,confirmedplanets,,,0.064,,inf,,nan,,inf,0.0639,nan,0.1971,0.198,0.0043,0.004,0.0043,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,11/09/09,2013-04-25,Kepler-19.xml,
Kepler-190 b,Kepler-190 b,confirmedplanets,,,,,,,,,,,,0.14216,0.139,0.01002,0.01,0.01002,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-190.xml,
Kepler-190 c,Kepler-190 c,confirmedplanets,,,,,,,,,,,,0.13305,0.13,0.00911,0.009,0.00911,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-190.xml,
Kepler-191 b,Kepler-191 b,confirmedplanets,,,,,,,,,,,,0.12211,0.12,0.06015,0.059,0.06015,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-191.xml,
Kepler-191 c,Kepler-191 c,confirmedplanets,,,,,,,,,,,,0.16950,0.166,0.08384,0.082,0.08384,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-191.xml,
Kepler-191 d,Kepler-191 d,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-191.xml,
Kepler-192 b,Kepler-192 b,confirmedplanets,,,,,,,,,,,,0.24970,0.244,0.04101,0.04,0.04101,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-192.xml,
Kepler-192 c,Kepler-192 c,confirmedplanets,,,,,,,,,,,,0.25425,0.249,0.04739,0.046,0.04739,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-192.xml,
Kepler-192 d,Kepler-192 d,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-192.xml,
Kepler-193 b,Kepler-193 b,confirmedplanets,,,,,,,,,,,,0.21780,0.213,0.00729,0.096,0.09842,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-193.xml,
Kepler-193 c,Kepler-193 c,confirmedplanets,,,,,,,,,,,,0.25061,0.245,0.02187,0.111,0.11300,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-193.xml,
Kepler-194 b,Kepler-194 b,confirmedplanets,,,,,,,,,,,,0.13761,0.135,0.07199,0.07,0.07199,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-194.xml,
Kepler-194 c,Kepler-194 c,confirmedplanets,,,,,,,,,,,,0.23603,0.231,0.03281,0.121,0.12394,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-194.xml,
Kepler-194 d,Kepler-194 d,confirmedplanets,,,,,,,,,,,,0.21871,0.214,0.02369,0.112,0.11482,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-194.xml,
Kepler-195 b,Kepler-195 b,confirmedplanets,,,,,,,,,,,,0.18499,0.181,0.06744,0.066,0.06744,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-195.xml,
Kepler-195 c,Kepler-195 c,confirmedplanets,,,,,,,,,,,,0.14125,0.138,0.05194,0.051,0.05194,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-195.xml,
Kepler-196 b,Kepler-196 b,confirmedplanets,,,,,,,,,,,,0.17315,0.17,0.01367,0.013,0.01367,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-196.xml,
Kepler-196 c,Kepler-196 c,confirmedplanets,,,,,,,,,,,,0.20413,0.2,0.01549,0.015,0.01549,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-196.xml,
Kepler-197 b,Kepler-197 b,confirmedplanets,,,,,,,,,,,,0.09295,0.09492,0.00365,0.00339,0.00365,0.00339,,,,,5.599308,5.599293,0.000023,3.9e-05,0.000023,3.9e-05,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/07/22,2015-12-18,Kepler-197.xml,
Kepler-197 c,Kepler-197 c,confirmedplanets,,,0.017,,0.0091,,0.01,,0.0091,,0.01,0.11209,0.1078,0.00365,0.0043,0.00365,0.0043,,,,,10.349695,10.349711,0.000045,5.4e-05,0.000045,5.4e-05,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/07/22,2015-12-18,Kepler-197.xml,
Kepler-197 d,Kepler-197 d,confirmedplanets,,,,,,,,,,,,0.11118,0.111,0.00911,0.0044,0.00911,0.0044,,,,,15.677563,15.67787,0.000096,0.00013,0.000096,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/07/22,2015-12-18,Kepler-197.xml,
Kepler-197 e,Kepler-197 e,confirmedplanets,,,,,,,,,,,,0.08293,0.0877,0.00365,0.00428,0.00365,0.00428,,,,,25.209715,25.2097,0.000387,0.0014,0.000387,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/07/22,2015-12-18,Kepler-197.xml,
Kepler-198 b,Kepler-198 b,confirmedplanets,,,,,,,,,,,,0.25699,0.252,0.03827,0.037,0.03827,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-198.xml,
Kepler-198 c,Kepler-198 c,confirmedplanets,,,,,,,,,,,,0.22509,0.22,0.03372,0.033,0.03372,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-198.xml,
Kepler-198 d,Kepler-198 d,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-198.xml,
Kepler-199 b,Kepler-199 b,confirmedplanets,,,,,,,,,,,,0.28342,0.277,0.05103,0.05,0.05103,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-199.xml,
Kepler-199 c,Kepler-199 c,confirmedplanets,,,,,,,,,,,,0.29617,0.29,0.05286,0.052,0.05286,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-199.xml,
Kepler-20 b,Kepler-20 b,confirmedplanets,,0.027,0.0305,,0.00453,,0.00444,,0.00453,,0.00444,0.17,0.1667,,0.003,,0.0059,,,,,3.6961219,3.69611525,,8.7e-07,,1.15e-06,,,,,,0.03,,0.03,,0.09,,,,,1092.1,,,,,,,,,,transit,primarytransit,,,11/12/21,2016-08-26,Kepler-20.xml,
Kepler-20 c,Kepler-20 c,confirmedplanets,,0.051,0.04012,,0.00705,,0.00683,,0.00705,,0.00683,0.27,0.2718,,0.005,,0.0057,,,,,10.854092,10.85409089,,2.6e-06,,3.03e-06,,,,,,0.16,,0.09,,0.01,,,,,759.9,,,,,,,,,,transit,primarytransit,,,11/12/21,2016-08-26,Kepler-20.xml,
Kepler-20 d,Kepler-20 d,confirmedplanets,,0.06,0.03168,,0.0116,,0.0125,,0.0116,,0.0125,0.25,0.2448,,0.0049,,0.0065,,,,,77.61185,77.61130017,,0.00011588,,0.00012305,,,,,,0.6,,inf,,nan,,,,,388.6,,,,,,,,,,transit,primarytransit,,,11/12/21,2016-08-26,Kepler-20.xml,
Kepler-20 e,Kepler-20 e,confirmedplanets,,,0.0097,,inf,,nan,,inf,,nan,0.0791,0.0772,,0.0025,,0.0023,,,,,6.098493,6.09852281,,1.351e-05,,6.08e-06,,,,,,,,,,,,,,,1040.0,,,,,,,,,,transit,primarytransit,,,11/12/21,2016-08-26,Kepler-20.xml,
Kepler-20 f,Kepler-20 f,confirmedplanets,,,0.045,,,,,,,,,0.093,0.08948,,0.0079,,0.0045,,,,,19.57706,19.57758478,,0.00012256,,9.037e-05,,,,,,,,,,,,,,,706.0,,,,,,,,,,transit,primarytransit,,,11/12/21,2016-08-26,Kepler-20.xml,
Kepler-200 b,Kepler-200 b,confirmedplanets,,,,,,,,,,,,0.19411,0.19,0.03736,0.037,0.03736,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-200.xml,
Kepler-200 c,Kepler-200 c,confirmedplanets,,,,,,,,,,,,0.14490,0.142,0.02643,0.026,0.02643,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-200.xml,
Kepler-201 b,Kepler-201 b,confirmedplanets,,,,,,,,,,,,0.22418,0.219,0.04374,0.043,0.04374,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-201.xml,
Kepler-201 c,Kepler-201 c,confirmedplanets,,,,,,,,,,,,0.25972,0.254,0.05468,0.054,0.05468,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-201.xml,
Kepler-202 b,Kepler-202 b,confirmedplanets,,,,,,,,,,,,0.14854,0.145,0.00911,0.009,0.00911,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-202.xml,
Kepler-202 c,Kepler-202 c,confirmedplanets,,,,,,,,,,,,0.16859,0.165,0.00911,0.009,0.00911,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-202.xml,
Kepler-203 b,Kepler-203 b,confirmedplanets,,,,,,,,,,,,0.23420,0.229,0.04739,0.046,0.04739,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-203.xml,
Kepler-203 c,Kepler-203 c,confirmedplanets,,,,,,,,,,,,0.22509,0.22,0.04283,0.042,0.04283,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-203.xml,
Kepler-203 d,Kepler-203 d,confirmedplanets,,,,,,,,,,,,0.13123,0.128,0.02552,0.025,0.02552,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-203.xml,
Kepler-204 b,Kepler-204 b,confirmedplanets,,,,,,,,,,,,0.23056,0.226,0.04921,0.048,0.04921,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-204.xml,
Kepler-204 c,Kepler-204 c,confirmedplanets,,,,,,,,,,,,0.16312,0.16,0.03554,0.035,0.03554,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-204.xml,
Kepler-205 b,Kepler-205 b,confirmedplanets,,,,,,,,,,,,0.13761,0.135,0.01276,0.012,0.01276,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-205.xml,
Kepler-205 c,Kepler-205 c,confirmedplanets,,,,,,,,,,,,0.14945,0.146,0.01094,0.011,0.01094,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-205.xml,
Kepler-206 b,Kepler-206 b,confirmedplanets,,,,,,,,,,,,0.10936,0.107,0.02187,0.021,0.02187,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-206.xml,
Kepler-206 c,Kepler-206 c,confirmedplanets,,,,,,,,,,,,0.16130,0.158,0.03098,0.03,0.03098,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-206.xml,
Kepler-206 d,Kepler-206 d,confirmedplanets,,,,,,,,,,,,0.10845,0.106,0.02187,0.021,0.02187,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-206.xml,
Kepler-207 b,Kepler-207 b,confirmedplanets,,,,,,,,,,,,0.14307,0.14,0.02734,0.027,0.02734,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-207.xml,
Kepler-207 c,Kepler-207 c,confirmedplanets,,,,,,,,,,,,0.13670,0.134,0.02643,0.026,0.02643,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-207.xml,
Kepler-207 d,Kepler-207 d,confirmedplanets,,,,,,,,,,,,0.30164,0.295,0.05741,0.056,0.05741,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-207.xml,
Kepler-208 b,Kepler-208 b,confirmedplanets,,,,,,,,,,,,0.14854,0.145,0.02734,0.027,0.02734,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-208.xml,
Kepler-208 c,Kepler-208 c,confirmedplanets,,,,,,,,,,,,0.12667,0.124,0.02369,0.023,0.02369,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-208.xml,
Kepler-208 d,Kepler-208 d,confirmedplanets,,,,,,,,,,,,0.10936,0.107,0.02096,0.021,0.02096,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-208.xml,
Kepler-208 e,Kepler-208 e,confirmedplanets,,,,,,,,,,,,0.13487,0.132,0.02552,0.025,0.02552,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-208.xml,
Kepler-209 b,Kepler-209 b,confirmedplanets,,,,,,,,,,,,0.20595,0.202,0.03098,0.03,0.03098,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-209.xml,
Kepler-209 c,Kepler-209 c,confirmedplanets,,,,,,,,,,,,0.28250,0.277,0.04648,0.045,0.04648,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-209.xml,
Kepler-21 b,Kepler-21 b,confirmedplanets|planetsinbinarysystems|s-type,,,0.016,,0.00541,,0.00541,,0.00541,0.0327,0.00541,0.1456,0.1462,0.0038,0.0013,0.0034,0.0017,,,,,2.785755,2.78578,0.000034,3e-05,0.000031,3e-05,,,,,,0.02,,0.02,,0.1,,,,,,2025.0,,,,,,,,,transit,primarytransit,,,16/01/22,2016-09-27,Kepler-21.xml,
Kepler-210 b,Kepler-210 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/03/14,2014-03-14,Kepler-210.xml,
Kepler-210 c,Kepler-210 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/03/14,2014-03-14,Kepler-210.xml,
Kepler-211 b,Kepler-211 b,confirmedplanets,,,,,,,,,,,,0.11482,0.112,0.00820,0.008,0.00820,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-211.xml,
Kepler-211 c,Kepler-211 c,confirmedplanets,,,,,,,,,,,,0.11756,0.115,0.00820,0.008,0.00820,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-211.xml,
Kepler-212 b,Kepler-212 b,confirmedplanets,,,,,,,,,,,,0.09933,0.097,0.01914,0.019,0.01914,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-212.xml,
Kepler-212 c,Kepler-212 c,confirmedplanets,,,,,,,,,,,,0.24970,0.244,0.04648,0.045,0.04648,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-212.xml,
Kepler-213 b,Kepler-213 b,confirmedplanets,,,,,,,,,,,,0.14763,0.145,0.02825,0.028,0.02825,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-213.xml,
Kepler-213 c,Kepler-213 c,confirmedplanets,,,,,,,,,,,,0.21324,0.209,0.04101,0.04,0.04101,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-213.xml,
Kepler-214 b,Kepler-214 b,confirmedplanets,,,,,,,,,,,,0.23785,0.233,0.04465,0.044,0.04465,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-214.xml,
