Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
Kepler-1430,Kepler-1430,19 18 47,,+43 22 20,,,541.0,,,,,Kepler-1430.xml,
Kepler-1431,Kepler-1431,19 30 38,,+49 51 55,,,1270.0,,,,,Kepler-1431.xml,
Kepler-1432,Kepler-1432,19 42 06,,+49 49 46,,,1552.0,,,,,Kepler-1432.xml,
Kepler-1433,Kepler-1433,19 09 27,,+49 27 25,,,1328.0,,,,,Kepler-1433.xml,
Kepler-1434,Kepler-1434,19 42 09,,+51 12 11,,,680.0,,,,,Kepler-1434.xml,
Kepler-1435,Kepler-1435,19 24 42,,+44 55 16,,,681.0,,,,,Kepler-1435.xml,
Kepler-1436,Kepler-1436,19 50 51,,+46 46 05,,,1142.0,,,,,Kepler-1436.xml,
Kepler-1437,Kepler-1437,19 27 28,,+49 19 33,,,1182.0,,,,,Kepler-1437.xml,
Kepler-1438,Kepler-1438,19 17 10,,+40 40 54,,,866.0,,,,,Kepler-1438.xml,
Kepler-1439,Kepler-1439,19 02 58,,+40 58 48,,,215.0,,,,,Kepler-1439.xml,
Kepler-144,Kepler-144,18 47 39,,+42 46 31,,385.13,,,,,,Kepler-144.xml,
Kepler-1440,Kepler-1440,19 01 23,,+48 18 44,,,685.0,,,,,Kepler-1440.xml,
Kepler-1441,Kepler-1441,19 34 53,,+43 07 29,,,751.0,,,,,Kepler-1441.xml,
Kepler-1442,Kepler-1442,19 25 01,,+48 50 49,,,525.0,,,,,Kepler-1442.xml,
Kepler-1443,Kepler-1443,18 53 45,,+47 04 01,,,475.0,,,,,Kepler-1443.xml,
Kepler-1444,Kepler-1444,19 01 19,,+42 02 26,,,340.0,,,,,Kepler-1444.xml,
Kepler-1445,Kepler-1445,18 40 59.9,,+43 54 54,,,482.0,,,,,Kepler-1445.xml,
Kepler-1446,Kepler-1446,19 17 42,,+46 43 34,,,162.0,,,,,Kepler-1446.xml,
Kepler-1447,Kepler-1447,19 18 34,,+50 43 38,,,871.0,,,,,Kepler-1447.xml,
Kepler-1448,Kepler-1448,19 11 28,,+50 35 44,,,786.0,,,,,Kepler-1448.xml,
Kepler-1449,Kepler-1449,19 12 56,,+50 34 04,,,1321.0,,,,,Kepler-1449.xml,
Kepler-1450,Kepler-145,19 38 13,,+45 04 53,,,584.1,,17.91,,17.91,Kepler-1450.xml,
Kepler-1450,Kepler-1450,19 38 13,,+45 04 53,,,490.0,,,,,Kepler-1450.xml,
Kepler-1451,Kepler-1451,19 33 47,,+40 24 36,,,1159.0,,,,,Kepler-1451.xml,
Kepler-1452,Kepler-1452,19 29 41,,+38 15 59,,,974.0,,,,,Kepler-1452.xml,
Kepler-1453,Kepler-1453,19 04 30,,+47 56 51,,,1284.0,,,,,Kepler-1453.xml,
Kepler-1454,Kepler-1454,18 56 54,,+48 49 54,,,795.0,,,,,Kepler-1454.xml,
Kepler-1455,Kepler-1455,19 36 20,,+50 30 10,,,392.0,,,,,Kepler-1455.xml,
Kepler-1456,Kepler-1456,19 07 47,,+43 49 22,,,379.0,,,,,Kepler-1456.xml,
Kepler-1457,Kepler-1457,18 55 05,,+42 01 38,,,728.0,,,,,Kepler-1457.xml,
Kepler-1458,Kepler-1458,18 52 51,,+41 02 17,,,642.0,,,,,Kepler-1458.xml,
Kepler-1459,Kepler-1459,18 49 42,,+46 00 50,,,435.0,,,,,Kepler-1459.xml,
Kepler-146,Kepler-146,19 36 26,,+38 42 36,,844.99,,,,,,Kepler-146.xml,
Kepler-1460,Kepler-1460,19 02 14,,+44 00 39,,,574.0,,,,,Kepler-1460.xml,
Kepler-1461,Kepler-1461,19 03 19,,+43 11 54,,,752.0,,,,,Kepler-1461.xml,
Kepler-1462,Kepler-1462,19 45 35,,+42 23 49,,,1368.0,,,,,Kepler-1462.xml,
Kepler-1463,Kepler-1463,19 37 57,,+42 00 25,,,1341.0,,,,,Kepler-1463.xml,
Kepler-1464,Kepler-1464,19 08 57,,+38 45 15,,,692.0,,,,,Kepler-1464.xml,
Kepler-1465,Kepler-1465,19 19 17,,+51 54 17,,,350.0,,,,,Kepler-1465.xml,
Kepler-1466,Kepler-1466,19 19 19,,+44 36 36,,,686.0,,,,,Kepler-1466.xml,
Kepler-1467,Kepler-1467,19 40 12,,+45 20 34,,,890.0,,,,,Kepler-1467.xml,
Kepler-1468,Kepler-1468,19 34 05,,+41 16 39,,,1130.0,,,,,Kepler-1468.xml,
Kepler-1469,Kepler-1469,19 35 17,,+39 23 29,,,1255.0,,,,,Kepler-1469.xml,
Kepler-147,Kepler-147,19 11 54,,+39 05 13,,1106.65,,,,,,Kepler-147.xml,
Kepler-1470,Kepler-1470,19 14 47,,+39 52 59,,,569.0,,,,,Kepler-1470.xml,
Kepler-1471,Kepler-1471,19 18 40,,+50 01 12,,,1059.0,,,,,Kepler-1471.xml,
Kepler-1472,Kepler-1472,19 39 25,,+49 03 27,,,1269.0,,,,,Kepler-1472.xml,
Kepler-1473,Kepler-1473,19 22 33,,+48 59 46,,,625.0,,,,,Kepler-1473.xml,
Kepler-1474,Kepler-1474,19 38 47,,+45 52 01,,,1214.0,,,,,Kepler-1474.xml,
Kepler-1475,Kepler-1475,19 43 48,,+44 45 11,,,1714.0,,,,,Kepler-1475.xml,
Kepler-1476,Kepler-1476,18 58 08,,+43 59 24,,,1218.0,,,,,Kepler-1476.xml,
Kepler-1477,Kepler-1477,18 45 12,,+42 41 09,,,525.0,,,,,Kepler-1477.xml,
Kepler-1478,Kepler-1478,19 32 40,,+41 44 46,,,1405.0,,,,,Kepler-1478.xml,
Kepler-1479,Kepler-1479,19 02 51,,+49 42 24,,,619.0,,,,,Kepler-1479.xml,
Kepler-148,Kepler-148,19 19 08,,+46 51 31,,934.81,,,,,,Kepler-148.xml,
Kepler-1480,Kepler-1480,19 27 59.9,,+49 18 07,,,540.0,,,,,Kepler-1480.xml,
Kepler-1481,Kepler-1481,19 17 45,,+49 43 52,,,493.0,,,,,Kepler-1481.xml,
Kepler-1482,Kepler-1482,19 01 15,,+48 43 31,,,442.0,,,,,Kepler-1482.xml,
Kepler-1483,Kepler-1483,19 41 38,,+42 09 03,,,1327.0,,,,,Kepler-1483.xml,
Kepler-1484,Kepler-1484,19 30 44,,+38 07 35,,,1095.0,,,,,Kepler-1484.xml,
Kepler-1485,Kepler-1485,19 52 23,,+44 44 13,,,550.0,,,,,Kepler-1485.xml,
Kepler-1486,Kepler-1486,19 22 22,,+45 26 23,,,1465.0,,,,,Kepler-1486.xml,
Kepler-1487,Kepler-1487,19 41 59.6,,+38 38 40,,,1094.0,,,,,Kepler-1487.xml,
Kepler-1488,Kepler-1488,19 06 35,,+49 56 16,,,618.0,,,,,Kepler-1488.xml,
Kepler-1489,Kepler-1489,18 45 11,,+44 27 55,,,870.0,,,,,Kepler-1489.xml,
Kepler-149,Kepler-149,19 03 24,,+38 23 02,,588.12,,,,,,Kepler-149.xml,
Kepler-1490,Kepler-1490,19 42 46,,+42 36 34,,,968.0,,,,,Kepler-1490.xml,
Kepler-1491,Kepler-1491,19 34 31,,+45 44 26,,,1312.0,,,,,Kepler-1491.xml,
Kepler-1492,Kepler-1492,19 14 23,,+41 02 11,,,371.0,,,,,Kepler-1492.xml,
Kepler-1493,Kepler-1493,19 14 12,,+38 33 55,,,572.0,,,,,Kepler-1493.xml,
Kepler-1494,Kepler-1494,18 50 38,,+43 09 45,,,1059.0,,,,,Kepler-1494.xml,
Kepler-1495,Kepler-1495,19 04 31,,+38 46 47,,,1307.0,,,,,Kepler-1495.xml,
Kepler-1496,Kepler-1496,19 35 54,,+45 21 03,,,1293.0,,,,,Kepler-1496.xml,
Kepler-1497,Kepler-1497,19 44 47,,+45 38 04,,,1122.0,,,,,Kepler-1497.xml,
Kepler-1498,Kepler-1498,18 59 07,,+44 55 00,,,740.0,,,,,Kepler-1498.xml,
Kepler-1499,Kepler-1499,18 55 57,,+41 39 01,,,310.0,,,,,Kepler-1499.xml,
Kepler-15,Kepler-15,19 44 48.14,,+49 08 24.43,,,,,,,,Kepler-15.xml,
Kepler-150,Kepler-150,19 12 56,,+40 31 15,,973.33,,,,,,Kepler-150.xml,
Kepler-1500,Kepler-1500,19 15 32,,+39 44 40,,,904.0,,,,,Kepler-1500.xml,
Kepler-1501,Kepler-1501,19 19 40,,+42 00 05,,,888.0,,,,,Kepler-1501.xml,
Kepler-1502,Kepler-1502,19 44 26,,+39 19 12,,,1540.0,,,,,Kepler-1502.xml,
Kepler-1503,Kepler-1503,19 34 55,,+42 48 24,,,850.0,,,,,Kepler-1503.xml,
Kepler-1504,Kepler-1504,19 18 51,,+50 07 42,,,1029.0,,,,,Kepler-1504.xml,
Kepler-1505,Kepler-1505,19 28 00,,+41 47 13,,,359.0,,,,,Kepler-1505.xml,
Kepler-1506,Kepler-1506,19 20 36,,+41 27 53,,,1318.0,,,,,Kepler-1506.xml,
Kepler-1507,Kepler-1507,19 14 15,,+46 32 10,,,342.0,,,,,Kepler-1507.xml,
Kepler-1508,Kepler-1508,19 52 29,,+40 22 30,,,892.0,,,,,Kepler-1508.xml,
Kepler-1509,Kepler-1509,18 55 11,,+46 55 52,,,1277.0,,,,,Kepler-1509.xml,
Kepler-151,Kepler-151,19 28 39,,+41 01 23,,751.12,,,,,,Kepler-151.xml,
Kepler-1510,Kepler-1510,19 55 50,,+48 15 28,,,1615.0,,,,,Kepler-1510.xml,
Kepler-1511,Kepler-1511,19 13 41,,+43 10 47,,,897.0,,,,,Kepler-1511.xml,
Kepler-1512,Kepler-1512,19 17 06,,+44 28 13,,,162.0,,,,,Kepler-1512.xml,
Kepler-1513,Kepler-1513,19 19 10,,+39 17 07,,,384.0,,,,,Kepler-1513.xml,
Kepler-1514,Kepler-1514,19 30 31,,+37 51 36,,,379.0,,,,,Kepler-1514.xml,
Kepler-1515,Kepler-1515,19 23 54,,+48 10 41,,,504.0,,,,,Kepler-1515.xml,
Kepler-1516,Kepler-1516,19 25 59,,+44 31 25,,,872.0,,,,,Kepler-1516.xml,
Kepler-1517,Kepler-1517,19 11 14,,+43 11 20,,,869.0,,,,,Kepler-1517.xml,
Kepler-1518,Kepler-1518,20 01 20,,+44 59 10,,,1140.0,,,,,Kepler-1518.xml,
Kepler-1519,Kepler-1519,19 46 40,,+49 27 43,,,858.0,,,,,Kepler-1519.xml,
Kepler-152,Kepler-152,19 07 27,,+41 59 20,,456.33,,,,,,Kepler-152.xml,
Kepler-1521,Kepler-1521,19 30 46,,+37 50 06,,,227.0,,,,,Kepler-1521.xml,
Kepler-1522,Kepler-1522,19 19 22,,+52 04 13,,,690.0,,,,,Kepler-1522.xml,
Kepler-1523,Kepler-1523,19 44 13,,+45 49 37,,,918.0,,,,,Kepler-1523.xml,
Kepler-1524,Kepler-1524,19 35 32,,+39 31 11,,,506.0,,,,,Kepler-1524.xml,
Kepler-1525,Kepler-1525,19 22 14,,+49 56 35,,,396.0,,,,,Kepler-1525.xml,
Kepler-1526,Kepler-1526,19 00 29,,+38 51 59,,,576.0,,,,,Kepler-1526.xml,
Kepler-1527,Kepler-1527,19 49 39,,+46 03 39,,,1560.0,,,,,Kepler-1527.xml,
Kepler-1528,Kepler-1528,19 09 37,,+46 34 26,,,916.0,,,,,Kepler-1528.xml,
Kepler-1529,Kepler-1529,19 19 29,,+41 02 27,,,683.0,,,,,Kepler-1529.xml,
Kepler-153,Kepler-153,18 49 50,,+48 15 25,,626.10,,,,,,Kepler-153.xml,
Kepler-1530,Kepler-1530,19 12 39,,+48 09 55,,,552.0,,,,,Kepler-1530.xml,
Kepler-1531,Kepler-1531,19 00 35,,+39 22 15,,,670.0,,,,,Kepler-1531.xml,
Kepler-1532,Kepler-1532,19 47 37,,+41 11 53,,,824.0,,,,,Kepler-1532.xml,
Kepler-1533,Kepler-1533,19 43 54,,+44 42 48,,,852.0,,,,,Kepler-1533.xml,
Kepler-1534,Kepler-1534,19 29 35,,+43 52 09,,,1107.0,,,,,Kepler-1534.xml,
Kepler-1535,Kepler-1535,19 06 27,,+38 53 31,,,879.0,,,,,Kepler-1535.xml,
Kepler-1536,Kepler-1536,19 26 20,,+45 42 57,,,401.0,,,,,Kepler-1536.xml,
Kepler-1537,Kepler-1537,19 37 32,,+43 49 32,,,503.0,,,,,Kepler-1537.xml,
Kepler-1538,Kepler-1538,18 53 23,,+45 16 28,,,1291.0,,,,,Kepler-1538.xml,
Kepler-1539,Kepler-1539,18 56 53,,+44 16 07,,,788.0,,,,,Kepler-1539.xml,
Kepler-154,Kepler-154,19 19 07,,+49 53 47,,882.88,,,,,,Kepler-154.xml,
Kepler-1540,Kepler-1540,18 53 23,,+41 12 06,,,262.0,,,,,Kepler-1540.xml,
Kepler-1541,Kepler-1541,18 55 09,,+48 01 46,,,414.0,,,,,Kepler-1541.xml,
Kepler-1542,Kepler-1542,19 02 55,,+42 39 16,,,336.0,,,,,Kepler-1542.xml,
Kepler-1543,Kepler-1543,19 48 30,,+47 02 13,,,1114.0,,,,,Kepler-1543.xml,
Kepler-1544,Kepler-1544,19 49 08,,+49 12 45,,,349.0,,,,,Kepler-1544.xml,
Kepler-1545,Kepler-1545,19 55 36,,+47 27 47,,,688.0,,,,,Kepler-1545.xml,
Kepler-1546,Kepler-1546,19 50 20,,+41 32 28,,,994.0,,,,,Kepler-1546.xml,
Kepler-1547,Kepler-1547,18 55 03,,+42 13 20,,,665.0,,,,,Kepler-1547.xml,
Kepler-1548,Kepler-1548,19 09 53,,+46 04 50,,,1150.0,,,,,Kepler-1548.xml,
Kepler-1549,Kepler-1549,19 04 13,,+39 05 46,,,792.0,,,,,Kepler-1549.xml,
Kepler-155,Kepler-155,19 13 59,,+51 04 54,,302.28,,,,,,Kepler-155.xml,
Kepler-1550,Kepler-1550,19 11 03,,+38 17 41,,,1202.0,,,,,Kepler-1550.xml,
Kepler-1551,Kepler-1551,19 43 09,,+39 54 29,,,1560.0,,,,,Kepler-1551.xml,
Kepler-1552,Kepler-1552,19 26 42,,+38 52 30,,,618.0,,,,,Kepler-1552.xml,
Kepler-1553,Kepler-1553,19 27 41,,+39 01 20,,,719.0,,,,,Kepler-1553.xml,
Kepler-1554,Kepler-1554,19 06 18,,+41 44 29,,,982.0,,,,,Kepler-1554.xml,
Kepler-1555,Kepler-1555,19 10 33,,+45 42 58,,,1382.0,,,,,Kepler-1555.xml,
Kepler-1556,Kepler-1556,19 13 35,,+40 12 48,,,1060.0,,,,,Kepler-1556.xml,
Kepler-1557,Kepler-1557,19 35 32,,+46 50 20,,,1532.0,,,,,Kepler-1557.xml,
Kepler-1558,Kepler-1558,19 07 17,,+46 54 42,,,343.0,,,,,Kepler-1558.xml,
Kepler-1559,Kepler-1559,19 29 09,,+42 04 21,,,580.0,,,,,Kepler-1559.xml,
Kepler-156,Kepler-156,19 21 11,,+37 44 58,,482.88,,,,,,Kepler-156.xml,
Kepler-1560,Kepler-1560,19 31 08,,+43 12 58,,,529.0,,,,,Kepler-1560.xml,
Kepler-1561,Kepler-1561,19 47 42,,+43 33 59,,,993.0,,,,,Kepler-1561.xml,
Kepler-1562,Kepler-1562,19 37 49,,+46 44 37,,,1315.0,,,,,Kepler-1562.xml,
Kepler-1563,Kepler-1563,19 14 18,,+51 28 22,,,547.0,,,,,Kepler-1563.xml,
Kepler-1564,Kepler-1564,19 22 21,,+46 38 34,,,872.0,,,,,Kepler-1564.xml,
Kepler-1565,Kepler-1565,19 51 49,,+40 48 25,,,657.0,,,,,Kepler-1565.xml,
Kepler-1566,Kepler-1566,18 54 21,,+40 34 30,,,511.0,,,,,Kepler-1566.xml,
Kepler-1567,Kepler-1567,19 06 47,,+40 17 31,,,1226.0,,,,,Kepler-1567.xml,
Kepler-1568,Kepler-1568,19 16 44,,+47 52 24,,,883.0,,,,,Kepler-1568.xml,
Kepler-1569,Kepler-1569,19 28 49,,+37 13 16,,,1050.0,,,,,Kepler-1569.xml,
Kepler-157,Kepler-157,19 24 23,,+38 52 32,,742.16,,,,,,Kepler-157.xml,
Kepler-1570,Kepler-1570,19 59 27,,+45 49 38,,,463.0,,,,,Kepler-1570.xml,
Kepler-1571,Kepler-1571,20 03 44,,+45 35 48,,,802.0,,,,,Kepler-1571.xml,
Kepler-1572,Kepler-1572,18 47 35,,+46 43 21,,,600.0,,,,,Kepler-1572.xml,
Kepler-1573,Kepler-1573,19 31 57,,+49 29 06,,,1180.0,,,,,Kepler-1573.xml,
Kepler-1574,Kepler-1574,19 28 38,,+49 38 16,,,1275.0,,,,,Kepler-1574.xml,
Kepler-1575,Kepler-1575,19 34 58,,+45 45 42,,,1170.0,,,,,Kepler-1575.xml,
Kepler-1576,Kepler-1576,19 16 18,,+40 21 58,,,539.0,,,,,Kepler-1576.xml,
Kepler-1577,Kepler-1577,19 31 49,,+47 34 23,,,543.0,,,,,Kepler-1577.xml,
Kepler-1578,Kepler-1578,19 13 12,,+47 46 32,,,1016.0,,,,,Kepler-1578.xml,
Kepler-1579,Kepler-1579,19 33 09,,+43 30 54,,,466.0,,,,,Kepler-1579.xml,
Kepler-158,Kepler-158,18 56 07,,+39 46 52,,345.84,,,,,,Kepler-158.xml,
Kepler-1580,Kepler-1580,19 03 52,,+41 21 49,,,872.0,,,,,Kepler-1580.xml,
Kepler-1581,Kepler-1581,19 09 29,,+39 36 13,,,443.0,,,,,Kepler-1581.xml,
Kepler-1582,Kepler-1582,19 17 30,,+41 09 31,,,112.0,,,,,Kepler-1582.xml,
Kepler-1583,Kepler-1583,19 05 33,,+47 00 60,,,357.0,,,,,Kepler-1583.xml,
Kepler-1584,Kepler-1584,19 11 03,,+43 16 28,,,1325.0,,,,,Kepler-1584.xml,
Kepler-1585,Kepler-1585,19 44 38,,+44 33 47,,,1269.0,,,,,Kepler-1585.xml,
Kepler-1586,Kepler-1586,19 52 49,,+44 55 33,,,864.0,,,,,Kepler-1586.xml,
Kepler-1587,Kepler-1587,19 30 43,,+49 39 50,,,907.0,,,,,Kepler-1587.xml,
Kepler-1588,Kepler-1588,19 12 56,,+48 00 08,,,658.0,,,,,Kepler-1588.xml,
Kepler-1589,Kepler-1589,19 37 46,,+40 34 18,,,1418.0,,,,,Kepler-1589.xml,
Kepler-159,Kepler-159,19 48 16,,+40 52 07,,457.70,,,,,,Kepler-159.xml,
Kepler-1590,Kepler-1590,19 25 38,,+48 01 04,,,900.0,,,,,Kepler-1590.xml,
Kepler-1591,Kepler-1591,19 46 04,,+44 36 31,,,1090.0,,,,,Kepler-1591.xml,
Kepler-1592,Kepler-1592,19 35 24,,+38 23 52,,,1349.0,,,,,Kepler-1592.xml,
Kepler-1593,Kepler-1593,20 01 57,,+44 27 38,,,755.0,,,,,Kepler-1593.xml,
Kepler-1594,Kepler-1594,19 34 30,,+47 57 43,,,1100.0,,,,,Kepler-1594.xml,
Kepler-1595,Kepler-1595,19 02 53,,+43 00 34,,,841.0,,,,,Kepler-1595.xml,
Kepler-1596,Kepler-1596,19 02 14,,+49 19 48,,,1166.0,,,,,Kepler-1596.xml,
Kepler-1597,Kepler-1597,19 12 39,,+42 28 52,,,1255.0,,,,,Kepler-1597.xml,
Kepler-1598,Kepler-1598,19 13 53,,+46 47 01,,,734.0,,,,,Kepler-1598.xml,
Kepler-1599,Kepler-1599,19 04 53,,+41 09 05,,,1004.0,,,,,Kepler-1599.xml,
Kepler-160,Kepler-160,19 11 05,,+42 52 09,,859.11,,,,,,Kepler-160.xml,
Kepler-1600,Kepler-1600,19 25 36,,+38 47 16,,,992.0,,,,,Kepler-1600.xml,
Kepler-1601,Kepler-1601,19 02 03,,+38 04 47,,,660.0,,,,,Kepler-1601.xml,
Kepler-1602,Kepler-1602,19 34 19,,+40 25 39,,,815.0,,,,,Kepler-1602.xml,
Kepler-1603,Kepler-1603,19 41 19,,+42 32 06,,,1751.0,,,,,Kepler-1603.xml,
Kepler-1604,Kepler-1604,19 01 39,,+44 24 44,,,562.0,,,,,Kepler-1604.xml,
Kepler-1605,Kepler-1605,19 08 32,,+47 29 19,,,224.0,,,,,Kepler-1605.xml,
Kepler-1606,Kepler-1606,19 05 31,,+43 04 24,,,880.0,,,,,Kepler-1606.xml,
Kepler-1607,Kepler-1607,19 44 14,,+42 39 22,,,735.0,,,,,Kepler-1607.xml,
Kepler-1608,Kepler-1608,19 42 15,,+39 25 03,,,832.0,,,,,Kepler-1608.xml,
Kepler-1609,Kepler-1609,19 20 35,,+39 39 57,,,1483.0,,,,,Kepler-1609.xml,
Kepler-161,Kepler-161,19 22 03,,+43 05 01,,484.58,,,,,,Kepler-161.xml,
Kepler-1610,Kepler-1610,19 43 37,,+45 24 20,,,1063.0,,,,,Kepler-1610.xml,
Kepler-1611,Kepler-1611,19 46 03,,+49 43 40,,,686.0,,,,,Kepler-1611.xml,
Kepler-1612,Kepler-1612,19 25 00,,+45 39 18,,,837.0,,,,,Kepler-1612.xml,
Kepler-1613,Kepler-1613,19 19 30,,+43 25 15,,,855.0,,,,,Kepler-1613.xml,
Kepler-1614,Kepler-1614,18 59 29,,+49 46 33,,,982.0,,,,,Kepler-1614.xml,
Kepler-1615,Kepler-1615,19 05 26,,+42 13 39,,,940.0,,,,,Kepler-1615.xml,
Kepler-1616,Kepler-1616,19 06 10,,+45 18 18,,,862.0,,,,,Kepler-1616.xml,
Kepler-1617,Kepler-1617,19 11 45,,+46 25 07,,,813.0,,,,,Kepler-1617.xml,
Kepler-1618,Kepler-1618,19 40 42,,+45 55 51,,,1238.0,,,,,Kepler-1618.xml,
Kepler-1619,Kepler-1619,19 02 49,,+44 25 19,,,520.0,,,,,Kepler-1619.xml,
Kepler-162,Kepler-162,19 49 06,,+43 43 26,,773.85,,,,,,Kepler-162.xml,
Kepler-1620,Kepler-1620,19 49 05,,+46 55 42,,,773.0,,,,,Kepler-1620.xml,
Kepler-1621,Kepler-1621,19 50 21,,+43 50 28,,,1461.0,,,,,Kepler-1621.xml,
Kepler-1622,Kepler-1622,19 49 19,,+47 48 56,,,927.0,,,,,Kepler-1622.xml,
Kepler-1623,Kepler-1623,19 36 20,,+39 33 22,,,986.0,,,,,Kepler-1623.xml,
Kepler-1624,Kepler-1624,19 30 19,,+37 22 35,,,199.0,,,,,Kepler-1624.xml,
Kepler-1625,Kepler-1625,19 41 43,,+39 53 12,,,1213.0,,,,,Kepler-1625.xml,
Kepler-1626,Kepler-1626,19 46 00,,+40 43 16,,,1718.0,,,,,Kepler-1626.xml,
Kepler-1627,Kepler-1627,18 56 14,,+41 34 36,,,311.0,,,,,Kepler-1627.xml,
Kepler-1628,Kepler-1628,18 46 32,,+43 24 42,,,352.0,,,,,Kepler-1628.xml,
Kepler-1629,Kepler-1629,18 40 50,,+43 46 27,,,390.0,,,,,Kepler-1629.xml,
Kepler-163,Kepler-163,19 40 00,,+46 59 14,,788.98,,,,,,Kepler-163.xml,
Kepler-1630,Kepler-1630,19 50 02,,+43 42 39,,,278.0,,,,,Kepler-1630.xml,
Kepler-1631,Kepler-1631,19 38 32,,+43 48 28,,,1190.0,,,,,Kepler-1631.xml,
Kepler-1632,Kepler-1632,19 37 59,,+43 54 49,,,584.0,,,,,Kepler-1632.xml,
Kepler-1633,Kepler-1633,19 14 04,,+44 55 24,,,811.0,,,,,Kepler-1633.xml,
Kepler-1634,Kepler-1634,19 36 10,,+45 08 23,,,654.0,,,,,Kepler-1634.xml,
Kepler-1635,Kepler-1635,19 01 24,,+45 33 22,,,1084.0,,,,,Kepler-1635.xml,
Kepler-1636,Kepler-1636,19 36 14,,+46 26 28,,,1567.0,,,,,Kepler-1636.xml,
Kepler-1637,Kepler-1637,18 48 57,,+48 09 15,,,506.0,,,,,Kepler-1637.xml,
Kepler-1638,Kepler-1638,19 41 56,,+48 31 28,,,879.0,,,,,Kepler-1638.xml,
Kepler-1639,Kepler-1639,18 52 16,,+48 48 08,,,1168.0,,,,,Kepler-1639.xml,
Kepler-164,Kepler-164,19 11 07,,+47 37 47,,965.43,,,,,,Kepler-164.xml,
Kepler-1640,Kepler-1640,19 38 14,,+40 51 02,,,1379.0,,,,,Kepler-1640.xml,
Kepler-1641,Kepler-1641,19 45 26,,+41 34 28,,,961.0,,,,,Kepler-1641.xml,
Kepler-1642,Kepler-1642,19 48 51,,+43 38 37,,,447.0,,,,,Kepler-1642.xml,
Kepler-1643,Kepler-1643,20 01 43,,+44 45 04,,,414.0,,,,,Kepler-1643.xml,
Kepler-1644,Kepler-1644,19 01 54,,+48 02 06,,,592.0,,,,,Kepler-1644.xml,
Kepler-1645,Kepler-1645,19 49 55,,+48 25 07,,,844.0,,,,,Kepler-1645.xml,
Kepler-1646,Kepler-1646,19 10 06,,+42 54 46,,,81.0,,,,,Kepler-1646.xml,
Kepler-165,Kepler-165,18 42 45,,+47 48 35,,644.43,,,,,,Kepler-165.xml,
Kepler-166,Kepler-166,19 32 38,,+48 52 52,,639.62,,,,,,Kepler-166.xml,
Kepler-167,Kepler-167,19 30 38,,+38 20 43,,344.68,,,,,,Kepler-167.xml,
Kepler-168,Kepler-168,19 38 50,,+39 49 30,,1230.24,,,,,,Kepler-168.xml,
Kepler-169,Kepler-169,19 03 59,,+40 55 09,,443.80,,,,,,Kepler-169.xml,
Kepler-17,Kepler-17,19 53 35,,+47 48 54,,,,,100.0,,100.0,Kepler-17.xml,
Kepler-170,Kepler-170,18 58 05,,+41 37 46,,849.82,,,,,,Kepler-170.xml,
Kepler-171,Kepler-171,19 47 05,,+41 45 19,,854.42,,,,,,Kepler-171.xml,
Kepler-172,Kepler-172,18 53 28,,+41 49 18,,901.77,,,,,,Kepler-172.xml,
Kepler-173,Kepler-173,19 38 35,,+41 53 02,,809.64,,,,,,Kepler-173.xml,
Kepler-174,Kepler-174,19 09 45,,+43 49 55,,360.14,,,,,,Kepler-174.xml,
Kepler-175,Kepler-175,19 18 12,,+43 52 34,,1219.23,,,,,,Kepler-175.xml,
Kepler-176,Kepler-176,19 38 40,,+43 51 11,,669.36,,,,,,Kepler-176.xml,
Kepler-178,Kepler-178,19 08 24,,+46 53 47,,963.58,,,,,,Kepler-178.xml,
Kepler-179,Kepler-179,19 54 39,,+47 45 43,,602.79,,,,,,Kepler-179.xml,
Kepler-18,Kepler-18,19 52 19.067,,+44 44 46.94,,,,,,,,Kepler-18.xml,
Kepler-180,Kepler-180,19 42 17,,+49 46 28,,873.85,,,,,,Kepler-180.xml,
Kepler-181,Kepler-181,19 44 36,,+50 05 44,,628.45,,,,,,Kepler-181.xml,
Kepler-182,Kepler-182,19 19 19,,+50 35 10,,1440.75,,,,,,Kepler-182.xml,
Kepler-183,Kepler-183,19 34 07,,+39 18 57,,1092.31,,,,,,Kepler-183.xml,
Kepler-184,Kepler-184,19 27 48,,+43 04 28,,727.97,,,,,,Kepler-184.xml,
Kepler-185,Kepler-185,18 49 52,,+43 53 23,,575.07,,,,,,Kepler-185.xml,
Kepler-186,Kepler-186,19 54 36,,+43 57 18,,,,,,,,Kepler-186.xml,
Kepler-187,Kepler-187,19 59 11,,+44 05 21,,1106.61,,,,,,Kepler-187.xml,
Kepler-188,Kepler-188,18 45 07,,+44 18 55,,1201.90,,,,,,Kepler-188.xml,
Kepler-189,Kepler-189,19 10 15,,+44 18 17,,650.34,,,,,,Kepler-189.xml,
