Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
Kepler-159,kepler-159|koi-448|kic5640085,19 48 16,+40 52 07,457.70,,,Kepler-159.xml
Kepler-1590,kepler-1590,19 25 38,+48 01 04,,,,Kepler-1590.xml
Kepler-1591,kepler-1591,19 46 04,+44 36 31,,,,Kepler-1591.xml
Kepler-1592,kepler-1592,19 35 24,+38 23 52,,,,Kepler-1592.xml
Kepler-1593,kepler-1593,20 01 57,+44 27 38,,,,Kepler-1593.xml
Kepler-1594,kepler-1594,19 34 30,+47 57 43,,,,Kepler-1594.xml
Kepler-1595,kepler-1595,19 02 53,+43 00 34,,,,Kepler-1595.xml
Kepler-1596,kepler-1596,19 02 14,+49 19 48,,,,Kepler-1596.xml
Kepler-1597,kepler-1597,19 12 39,+42 28 52,,,,Kepler-1597.xml
Kepler-1598,kepler-1598,19 13 53,+46 47 01,,,,Kepler-1598.xml
Kepler-1599,kepler-1599,19 04 53,+41 09 05,,,,Kepler-1599.xml
Kepler-16,kepler-16,19 16 18,+51 45 27,60,,,Kepler-16.xml
Kepler-160,kepler-160|koi-456|kic7269974,19 11 05,+42 52 09,859.11,,,Kepler-160.xml
Kepler-1600,kepler-1600,19 25 36,+38 47 16,,,,Kepler-1600.xml
Kepler-1601,kepler-1601,19 02 03,+38 04 47,,,,Kepler-1601.xml
Kepler-1602,kepler-1602,19 34 19,+40 25 39,,,,Kepler-1602.xml
Kepler-1603,kepler-1603,19 41 19,+42 32 06,,,,Kepler-1603.xml
Kepler-1604,kepler-1604,19 01 39,+44 24 44,,,,Kepler-1604.xml
Kepler-1605,kepler-1605,19 08 32,+47 29 19,,,,Kepler-1605.xml
Kepler-1606,kepler-1606,19 05 31,+43 04 24,,,,Kepler-1606.xml
Kepler-1607,kepler-1607,19 44 14,+42 39 22,,,,Kepler-1607.xml
Kepler-1608,kepler-1608,19 42 15,+39 25 03,,,,Kepler-1608.xml
Kepler-1609,kepler-1609,19 20 35,+39 39 57,,,,Kepler-1609.xml
Kepler-161,kepler-161|koi-457|kic7440748,19 22 03,+43 05 01,484.58,,,Kepler-161.xml
Kepler-1610,kepler-1610,19 43 37,+45 24 20,,,,Kepler-1610.xml
Kepler-1611,kepler-1611,19 46 03,+49 43 40,,,,Kepler-1611.xml
Kepler-1612,kepler-1612,19 25 00,+45 39 18,,,,Kepler-1612.xml
Kepler-1613,kepler-1613,19 19 30,+43 25 15,,,,Kepler-1613.xml
Kepler-1614,kepler-1614,18 59 29,+49 46 33,,,,Kepler-1614.xml
Kepler-1615,kepler-1615,19 05 26,+42 13 39,,,,Kepler-1615.xml
Kepler-1616,kepler-1616,19 06 10,+45 18 18,,,,Kepler-1616.xml
Kepler-1617,kepler-1617,19 11 45,+46 25 07,,,,Kepler-1617.xml
Kepler-1618,kepler-1618,19 40 42,+45 55 51,,,,Kepler-1618.xml
Kepler-1619,kepler-1619,19 02 49,+44 25 19,,,,Kepler-1619.xml
Kepler-162,kepler-162|koi-459|kic7977197,19 49 06,+43 43 26,773.85,,,Kepler-162.xml
Kepler-1620,kepler-1620,19 49 05,+46 55 42,,,,Kepler-1620.xml
Kepler-1621,kepler-1621,19 50 21,+43 50 28,,,,Kepler-1621.xml
Kepler-1622,kepler-1622,19 49 19,+47 48 56,,,,Kepler-1622.xml
Kepler-1623,kepler-1623,19 36 20,+39 33 22,,,,Kepler-1623.xml
Kepler-1624,kepler-1624,19 30 19,+37 22 35,,,,Kepler-1624.xml
Kepler-1625,kepler-1625,19 41 43,+39 53 12,,,,Kepler-1625.xml
Kepler-1626,kepler-1626,19 46 00,+40 43 16,,,,Kepler-1626.xml
Kepler-1627,kepler-1627,18 56 14,+41 34 36,,,,Kepler-1627.xml
Kepler-1628,kepler-1628,18 46 32,+43 24 42,,,,Kepler-1628.xml
Kepler-1629,kepler-1629,18 40 50,+43 46 27,,,,Kepler-1629.xml
Kepler-163,kepler-163|koi-471|kic10019643,19 40 00,+46 59 14,788.98,,,Kepler-163.xml
Kepler-1630,kepler-1630,19 50 02,+43 42 39,,,,Kepler-1630.xml
Kepler-1631,kepler-1631,19 38 32,+43 48 28,,,,Kepler-1631.xml
Kepler-1632,kepler-1632,19 37 59,+43 54 49,,,,Kepler-1632.xml
Kepler-1633,kepler-1633,19 14 04,+44 55 24,,,,Kepler-1633.xml
Kepler-1634,kepler-1634,19 36 10,+45 08 23,,,,Kepler-1634.xml
Kepler-1635,kepler-1635,19 01 24,+45 33 22,,,,Kepler-1635.xml
Kepler-1636,kepler-1636,19 36 14,+46 26 28,,,,Kepler-1636.xml
Kepler-1637,kepler-1637,18 48 57,+48 09 15,,,,Kepler-1637.xml
Kepler-1638,kepler-1638,19 41 56,+48 31 28,,,,Kepler-1638.xml
Kepler-1639,kepler-1639,18 52 16,+48 48 08,,,,Kepler-1639.xml
Kepler-164,kepler-164|koi-474|kic10460984,19 11 07,+47 37 47,965.43,,,Kepler-164.xml
Kepler-1640,kepler-1640,19 38 14,+40 51 02,,,,Kepler-1640.xml
Kepler-1641,kepler-1641,19 45 26,+41 34 28,,,,Kepler-1641.xml
Kepler-1642,kepler-1642,19 48 51,+43 38 37,,,,Kepler-1642.xml
Kepler-1643,kepler-1643,20 01 43,+44 45 04,,,,Kepler-1643.xml
Kepler-1644,kepler-1644,19 01 54,+48 02 06,,,,Kepler-1644.xml
Kepler-1645,kepler-1645,19 49 55,+48 25 07,,,,Kepler-1645.xml
Kepler-1646,kepler-1646,19 10 06,+42 54 46,,,,Kepler-1646.xml
Kepler-165,kepler-165|koi-475|kic10577994,18 42 45,+47 48 35,644.43,,,Kepler-165.xml
Kepler-166,kepler-166|koi-481|kic11192998,19 32 38,+48 52 52,639.62,,,Kepler-166.xml
Kepler-167,kepler-167|koi-490|kic3239945,19 30 38,+38 20 43,344.68,,,Kepler-167.xml
Kepler-168,kepler-168|koi-497|kic4757437,19 38 50,+39 49 30,1230.24,,,Kepler-168.xml
Kepler-169,kepler-169|koi-505|kic5689351,19 03 59,+40 55 09,443.80,,,Kepler-169.xml
Kepler-17,kepler-17,19 53 35,+47 48 54,800,,,Kepler-17.xml
Kepler-170,kepler-170|koi-508|kic6266741,18 58 05,+41 37 46,849.82,,,Kepler-170.xml
Kepler-171,kepler-171|koi-509|kic6381846,19 47 05,+41 45 19,854.42,,,Kepler-171.xml
Kepler-172,kepler-172|koi-510|kic6422155,18 53 28,+41 49 18,901.77,,,Kepler-172.xml
Kepler-173,kepler-173|koi-511|kic6451936,19 38 35,+41 53 02,809.64,,,Kepler-173.xml
Kepler-174,kepler-174|koi-518|kic8017703,19 09 45,+43 49 55,360.14,,,Kepler-174.xml
Kepler-175,kepler-175|koi-519|kic8022244,19 18 12,+43 52 34,1219.23,,,Kepler-175.xml
Kepler-176,kepler-176|koi-520|kic8037145,19 38 40,+43 51 11,669.36,,,Kepler-176.xml
Kepler-178,kepler-178|koi-528|kic9941859,19 08 24,+46 53 47,963.58,,,Kepler-178.xml
Kepler-179,kepler-179|koi-534|kic10554999,19 54 39,+47 45 43,602.79,,,Kepler-179.xml
Kepler-18,kepler-18,19 52 19.067,+44 44 46.94,,,,Kepler-18.xml
Kepler-180,kepler-180|koi-542|kic11669239,19 42 17,+49 46 28,873.85,,,Kepler-180.xml
Kepler-181,kepler-181|koi-543|kic11823054,19 44 36,+50 05 44,628.45,,,Kepler-181.xml
Kepler-182,kepler-182|koi-546|kic12058931,19 19 19,+50 35 10,1440.75,,,Kepler-182.xml
Kepler-183,kepler-183|koi-551|kic4270253,19 34 07,+39 18 57,1092.31,,,Kepler-183.xml
Kepler-184,kepler-184|koi-567|kic7445445,19 27 48,+43 04 28,727.97,,,Kepler-184.xml
Kepler-185,kepler-185|koi-569|kic8008206,18 49 52,+43 53 23,575.07,,,Kepler-185.xml
Kepler-186,kepler-186|koi-571|kic8120608,19 54 36,+43 57 18,151,18,18,Kepler-186.xml
Kepler-187,kepler-187|koi-572|kic8193178,19 59 11,+44 05 21,1106.61,,,Kepler-187.xml
Kepler-188,kepler-188|koi-573|kic8344004,18 45 07,+44 18 55,1201.90,,,Kepler-188.xml
Kepler-189,kepler-189|koi-574|kic8355239,19 10 15,+44 18 17,650.34,,,Kepler-189.xml
Kepler-19,kepler-19,19 21 41,+37 51 06,,,,Kepler-19.xml
Kepler-190,kepler-190|koi-579|kic8616637,19 14 20,+44 44 01,470.30,,,Kepler-190.xml
Kepler-191,kepler-191|koi-582|kic9020160,19 24 44,+45 19 23,680.33,,,Kepler-191.xml
Kepler-192,kepler-192|koi-584|kic9146018,19 11 40,+45 35 34,683.40,,,Kepler-192.xml
Kepler-193,kepler-193|koi-590|kic9782691,19 45 59,+46 34 38,1301.67,,,Kepler-193.xml
Kepler-194,kepler-194|koi-597|kic10600261,19 27 53,+47 51 51,1233.85,,,Kepler-194.xml
Kepler-195,kepler-195|koi-598|kic10656823,19 12 29,+47 58 00,681.77,,,Kepler-195.xml
Kepler-196,kepler-196|koi-612|kic6587002,18 59 52,+42 04 45,470.92,,,Kepler-196.xml
Kepler-197,kepler-197|koi-623|kic12068975,19 40 54.335,+50 33 32.35,313.87,,,Kepler-197.xml
Kepler-198,kepler-198|koi-624|kic3541946,19 22 41,+38 41 27,516.78,,,Kepler-198.xml
Kepler-199,kepler-199|koi-638|kic5113822,19 42 14,+40 14 10,544.56,,,Kepler-199.xml
Kepler-20,kepler-20,19 10 47,+42 20 19,290,,,Kepler-20.xml
Kepler-200,kepler-200|koi-654|kic5941160,18 57 38,+41 14 14,643.59,,,Kepler-200.xml
Kepler-201,kepler-201|koi-655|kic5966154,19 34 30,+41 16 22,608.78,,,Kepler-201.xml
Kepler-202,kepler-202|koi-657|kic6020753,18 51 53,+41 19 19,291.90,,,Kepler-202.xml
Kepler-203,kepler-203|koi-658|kic6062088,19 48 21,+41 23 16,800.07,,,Kepler-203.xml
Kepler-204,kepler-204|koi-661|kic6347299,19 01 23,+41 45 42,854.31,,,Kepler-204.xml
Kepler-205,kepler-205|koi-663|kic6425957,19 01 08,+41 51 40,172.98,,,Kepler-205.xml
Kepler-206,kepler-206|koi-664|kic6442340,19 26 32,+41 50 01,661.32,,,Kepler-206.xml
Kepler-207,kepler-207|koi-665|kic6685609,19 20 07,+42 09 57,813.46,,,Kepler-207.xml
Kepler-208,kepler-208|koi-671|kic7040629,19 35 33,+42 31 40,925.47,,,Kepler-208.xml
Kepler-209,kepler-209|koi-672|kic7115785,19 24 40,+42 38 26,604.83,,,Kepler-209.xml
Kepler-21,kepler-21,19 09 26.83535,+38 42 50.4593,112.9,7.4,7.4,Kepler-21.xml
Kepler-210,kepler-210|koi-676|kic7447200,19 30 00,+43 04 59,265.15,,,Kepler-210.xml
Kepler-211,kepler-211|koi-678|kic7509886,19 01 45,+43 10 06,327.93,,,Kepler-211.xml
Kepler-212,kepler-212|koi-679|kic7515212,19 10 28,+43 08 29,726.97,,,Kepler-212.xml
Kepler-213,kepler-213|koi-692|kic8557374,19 23 17,+44 38 49,702.35,,,Kepler-213.xml
Kepler-214,kepler-214|koi-693|kic8738735,18 59 01,+44 57 21,1070.66,,,Kepler-214.xml
Kepler-215,kepler-215|koi-700|kic8962094,19 39 53,+45 12 49,593.87,,,Kepler-215.xml
Kepler-216,kepler-216|koi-708|kic9530945,19 34 54,+46 07 44,994.93,,,Kepler-216.xml
Kepler-217,kepler-217|koi-710|kic9590976,19 32 09,+46 16 39,1054.36,,,Kepler-217.xml
Kepler-218,kepler-218|koi-711|kic9597345,19 41 39,+46 15 59,675.18,,,Kepler-218.xml
Kepler-219,kepler-219|koi-718|kic9884104,19 14 57,+46 45 45,953.85,,,Kepler-219.xml
Kepler-22,kepler-22,19 16 52,+47 53 04,180,,,Kepler-22.xml
Kepler-220,kepler-220|koi-719|kic9950612,19 26 01,+46 53 44,208.38,,,Kepler-220.xml
Kepler-221,kepler-221|koi-720|kic9963524,19 46 37,+46 50 06,428.30,,,Kepler-221.xml
Kepler-222,kepler-222|koi-723|kic10002866,19 11 37,+46 56 15,891.55,,,Kepler-222.xml
Kepler-223,kepler-223|koi-730|kic10227020,19 53 16,+47 16 46,1366.95,,,Kepler-223.xml
Kepler-224,kepler-224|koi-733|kic10271806,19 23 44,+47 21 27,773.13,,,Kepler-224.xml
Kepler-225,kepler-225|koi-736|kic10340423,19 28 46,+47 27 25,342.18,,,Kepler-225.xml
Kepler-226,kepler-226|koi-749|kic10601284,19 29 30,+47 52 51,1017.85,,,Kepler-226.xml
Kepler-227,kepler-227|koi-752|kic10797460,19 27 44,+48 08 29,1481.07,,,Kepler-227.xml
Kepler-228,kepler-228|koi-756|kic10872983,19 45 08,+48 13 28,1736.95,,,Kepler-228.xml
Kepler-229,kepler-229|koi-757|kic10910878,19 07 59,+48 22 32,949.11,,,Kepler-229.xml
Kepler-23,kepler-23|koi-168|kic11512246,19 36 52,+49 28 45,864.68,,,Kepler-23.xml
Kepler-230,kepler-230|koi-759|kic11018648,19 02 52,+48 30 21,894.50,,,Kepler-230.xml
Kepler-231,kepler-231|koi-784|kic12066335,19 35 53,+50 31 54,280.31,,,Kepler-231.xml
Kepler-232,kepler-232|koi-787|kic12366084,19 43 15,+51 07 18,1323.08,,,Kepler-232.xml
Kepler-233,kepler-233|koi-790|kic12470844,19 45 27,+51 19 10,859.50,,,Kepler-233.xml
Kepler-234,kepler-234|koi-800|kic3342970,19 26 36,+38 29 40,1867.58,,,Kepler-234.xml
Kepler-235,kepler-235|koi-812|kic4139816,19 04 18,+39 16 41,525.48,,,Kepler-235.xml
Kepler-236,kepler-236|koi-817|kic4725681,18 55 27,+39 53 53,293.01,,,Kepler-236.xml
Kepler-237,kepler-237|koi-825|kic5252423,18 52 53,+40 25 18,660.75,,,Kepler-237.xml
Kepler-238,kepler-238|koi-834|kic5436502,19 11 35,+40 38 16,1659.85,,,Kepler-238.xml
Kepler-239,kepler-239|koi-835|kic5456651,19 36 48,+40 39 48,684.60,,,Kepler-239.xml
Kepler-24,kepler-24|koi-1102|kic3231341,19 21 39,+38 20 37,1462.04,,,Kepler-24.xml
Kepler-240,kepler-240|koi-837|kic5531576,19 24 38,+40 45 00,840.27,,,Kepler-240.xml
Kepler-241,kepler-241|koi-842|kic5794379,19 31 39,+41 03 39,595.71,,,Kepler-241.xml
Kepler-242,kepler-242|koi-853|kic6428700,19 06 15,+41 48 30,859.95,,,Kepler-242.xml
Kepler-243,kepler-243|koi-857|kic6587280,19 00 26,+42 02 02,808.40,,,Kepler-243.xml
Kepler-244,kepler-244|koi-864|kic6849310,19 08 58,+42 18 04,1104.52,,,Kepler-244.xml
Kepler-245,kepler-245|koi-869|kic6948054,19 26 33,+42 26 10,919.92,,,Kepler-245.xml
Kepler-246,kepler-246|koi-874|kic7134976,19 45 56,+42 39 48,768.87,,,Kepler-246.xml
Kepler-247,kepler-247|koi-884|kic7434875,19 14 34,+43 02 21,695.58,,,Kepler-247.xml
Kepler-248,kepler-248|koi-896|kic7825899,19 32 14,+43 34 52,851.10,,,Kepler-248.xml
Kepler-249,kepler-249|koi-899|kic7907423,19 47 56,+43 39 30,230.75,,,Kepler-249.xml
Kepler-25,kepler-25,19 06 33,+38 20 37,191,,,Kepler-25.xml
Kepler-250,kepler-250|koi-906|kic8226994,19 18 22,+44 08 31,894.42,,,Kepler-250.xml
Kepler-251,kepler-251|koi-907|kic8247638,19 46 15,+44 06 21,1016.85,,,Kepler-251.xml
Kepler-252,kepler-252|koi-912|kic8505670,19 42 19,+44 32 45,337.11,,,Kepler-252.xml
Kepler-253,kepler-253|koi-921|kic8689373,19 27 22,+44 51 29,919.62,,,Kepler-253.xml
Kepler-254,kepler-254|koi-934|kic9334289,19 12 39,+45 48 59,1607.46,,,Kepler-254.xml
Kepler-255,kepler-255|koi-938|kic9415172,19 44 15,+45 58 36,1287.37,,,Kepler-255.xml
Kepler-256,kepler-256|koi-939|kic9466668,19 30 19,+46 05 50,1394.65,,,Kepler-256.xml
Kepler-257,kepler-257|koi-941|kic9480189,19 49 15,+46 01 23,1167.03,,,Kepler-257.xml
Kepler-258,kepler-258|koi-951|kic9775938,19 36 16,+46 34 45,836.13,,,Kepler-258.xml
Kepler-259,kepler-259|koi-954|kic9823457,19 12 50,+46 36 54,1182.50,,,Kepler-259.xml
Kepler-26,kepler-26|koi-250|kic9757613,18 59 45,+46 33 59,482.39,,,Kepler-26.xml
Kepler-260,kepler-260|koi-986|kic2854698,19 27 42,+38 00 50,539.35,,,Kepler-260.xml
Kepler-261,kepler-261|koi-988|kic2302548,19 25 27,+37 36 33,359.31,,,Kepler-261.xml
Kepler-262,kepler-262|koi-993|kic1718189,19 22 54,+37 15 09,717.13,,,Kepler-262.xml
Kepler-263,kepler-263|koi-999|kic2165002,19 29 52,+37 34 04,879.65,,,Kepler-263.xml
Kepler-264,kepler-264|koi-1001|kic1871056,19 28 10,+37 22 34,804.00,,,Kepler-264.xml
Kepler-265,kepler-265|koi-1052|kic5956342,19 22 02,+41 14 41,1511.13,,,Kepler-265.xml
Kepler-266,kepler-266|koi-1070|kic8240904,19 37 56,+44 10 00,1577.36,,,Kepler-266.xml
Kepler-267,kepler-267|koi-1078|kic10166274,19 59 19,+47 09 26,415.67,,,Kepler-267.xml
Kepler-268,kepler-268|koi-1113|kic2854914,19 27 54,+38 03 18,875.31,,,Kepler-268.xml
Kepler-269,kepler-269|koi-1127|kic6359320,19 20 51,+41 46 33,1605.94,,,Kepler-269.xml
Kepler-27,kepler-27,19 28 56,+41 05 09,991.22,,,Kepler-27.xml
Kepler-270,kepler-270|koi-1148|kic8410727,18 48 48,+44 25 20,1098.10,,,Kepler-270.xml
Kepler-271,kepler-271|koi-1151|kic8280511,18 52 00,+44 17 03,434.75,,,Kepler-271.xml
Kepler-272,kepler-272|koi-1161|kic10426656,19 56 30,+47 35 37,758.79,,,Kepler-272.xml
Kepler-273,kepler-273|koi-1163|kic10468940,19 25 12,+47 41 51,858.23,,,Kepler-273.xml
Kepler-274,kepler-274|koi-1196|kic3348082,19 31 41,+38 28 38,1253.43,,,Kepler-274.xml
Kepler-275,kepler-275|koi-1198|kic3447722,19 29 55,+38 30 53,2055.57,,,Kepler-275.xml
Kepler-276,kepler-276|koi-1203|kic3962243,19 34 16,+39 02 10,1559.37,,,Kepler-276.xml
Kepler-277,kepler-277,19 06 19,+39 04 37,951.43,,,Kepler-277.xml
Kepler-278,kepler-278|koi-1221|kic3640905,19 20 25,+38 42 08,511.95,,,Kepler-278.xml
Kepler-279,kepler-279|koi-1236|kic6677841,19 09 33,+42 11 41,1287.10,,,Kepler-279.xml
Kepler-28,kepler-28,19 28 32,+42 25 45,772.8,,,Kepler-28.xml
Kepler-280,kepler-280|koi-1240|kic6690082,19 25 33,+42 10 50,771.80,,,Kepler-280.xml
Kepler-281,kepler-281|koi-1258|kic8630788,19 36 25,+44 46 14,1419.23,,,Kepler-281.xml
Kepler-282,kepler-282|koi-1278|kic8609450,18 58 42,+44 47 51,1052.20,,,Kepler-282.xml
Kepler-283,kepler-283|koi-1298|kic10604335,19 34 27,+47 50 20,534.37,,,Kepler-283.xml
Kepler-284,kepler-284|koi-1301|kic10538176,19 32 35,+47 43 46,1266.39,,,Kepler-284.xml
Kepler-285,kepler-285|koi-1305|kic10730034,19 25 33,+48 03 56,864.99,,,Kepler-285.xml
Kepler-286,kepler-286|koi-1306|kic10858691,19 22 42,+48 17 39,1188.84,,,Kepler-286.xml
Kepler-287,kepler-287|koi-1307|kic10973814,19 23 42,+48 26 36,1058.96,,,Kepler-287.xml
Kepler-288,kepler-288|koi-1332|kic4455231,19 15 39,+39 35 40,1382.99,,,Kepler-288.xml
Kepler-289,kepler-289|koi-1353|kic7303287,19 49 51,+42 52 58,700,14,14,Kepler-289.xml
Kepler-29,kepler-29,19 53 23,+47 29 28,1246,,,Kepler-29.xml
Kepler-290,kepler-290|koi-1360|kic7102227,19 05 38,+42 40 53,874.46,,,Kepler-290.xml
Kepler-291,kepler-291|koi-1363|kic6936909,19 11 39,+42 26 14,1899.90,,,Kepler-291.xml
Kepler-292,kepler-292|koi-1364|kic6962977,19 43 03,+42 25 27,1216.22,,,Kepler-292.xml
Kepler-293,kepler-293|koi-1366|kic6932987,19 05 25,+42 24 23,1289.47,,,Kepler-293.xml
Kepler-294,kepler-294|koi-1396|kic9455556,19 09 34,+46 03 33,1698.68,,,Kepler-294.xml
Kepler-295,kepler-295|koi-1413|kic9006449,19 01 23,+45 22 04,737.84,,,Kepler-295.xml
Kepler-296,kepler-296|koi-1422|kic11497958,19 06 09.602,+49 26 14.37,558.5,,,Kepler-296.xml
Kepler-297,kepler-297|koi-1426|kic11122894,18 52 50,+48 46 39,684.83,,,Kepler-297.xml
Kepler-298,kepler-298|koi-1430|kic11176127,18 52 09,+48 49 31,474.25,,,Kepler-298.xml
Kepler-299,kepler-299|koi-1432|kic11014932,18 52 49,+48 34 49,1107.98,,,Kepler-299.xml
Kepler-300,kepler-300|koi-1435|kic11037335,19 41 09,+48 35 58,753.63,,,Kepler-300.xml
Kepler-301,kepler-301|koi-1436|kic11389771,18 55 55,+49 13 58,734.49,,,Kepler-301.xml
Kepler-302,kepler-302|koi-1486|kic7898352,19 37 16,+43 37 45,1712.49,,,Kepler-302.xml
Kepler-303,kepler-303|koi-1515|kic7871954,18 52 32,+43 39 25,192.34,,,Kepler-303.xml
Kepler-304,kepler-304|koi-1557|kic5371776,19 37 46,+40 33 27,482.29,,,Kepler-304.xml
Kepler-305,kepler-305|koi-1563|kic5219234,19 56 53,+40 20 35,1013.46,,,Kepler-305.xml
Kepler-306,kepler-306|koi-1567|kic5438099,19 14 09,+40 36 58,772.83,,,Kepler-306.xml
Kepler-307,kepler-307,19 51 10,+40 25 03,705.48,,,Kepler-307.xml
Kepler-308,kepler-308|koi-1593|kic5289854,19 43 08,+40 26 22,1602.52,,,Kepler-308.xml
Kepler-309,kepler-309|koi-1596|kic10027323,19 50 02,+46 57 40,581.27,,,Kepler-309.xml
Kepler-31,kepler-31|koi-935|kic9347899,19 36 05,+45 51 11,1790.60,,,Kepler-31.xml
Kepler-310,kepler-310|koi-1598|kic10004738,19 15 21,+46 59 12,713.11,,,Kepler-310.xml
Kepler-311,kepler-311|koi-1608|kic10055126,18 48 14,+47 05 07,803.71,,,Kepler-311.xml
Kepler-312,kepler-312|koi-1628|kic6975129,19 53 34,+42 27 35,720.22,,,Kepler-312.xml
Kepler-313,kepler-313|koi-1647|kic11153121,19 53 10,+48 46 31,1159.02,,,Kepler-313.xml
Kepler-314,kepler-314|koi-1692|kic6616218,19 38 41,+42 04 32,301.17,,,Kepler-314.xml
Kepler-315,kepler-315|koi-1707|kic7703955,19 52 05,+43 21 48,1363.58,,,Kepler-315.xml
Kepler-316,kepler-316|koi-1713|kic8230616,19 23 18,+44 11 02,344.01,,,Kepler-316.xml
Kepler-317,kepler-317|koi-1760|kic3967760,19 39 46,+39 01 55,1142.05,,,Kepler-317.xml
Kepler-318,kepler-318|koi-1779|kic9909735,19 53 55,+46 47 37,605.00,,,Kepler-318.xml
Kepler-319,kepler-319|koi-1805|kic4644952,19 15 14,+39 46 14,542.69,,,Kepler-319.xml
Kepler-32,kepler-32,19 51 22,+46 34 27,399,,,Kepler-32.xml
Kepler-320,kepler-320|koi-1806|kic9529744,19 32 51,+46 10 30,767.15,,,Kepler-320.xml
Kepler-321,kepler-321|koi-1809|kic8240797,19 37 48,+44 08 45,461.82,,,Kepler-321.xml
Kepler-322,kepler-322|koi-1820|kic8277797,18 45 23,+44 17 42,443.29,,,Kepler-322.xml
Kepler-323,kepler-323|koi-1824|kic2989404,19 25 31,+38 07 38,499.35,,,Kepler-323.xml
Kepler-324,kepler-324|koi-1831|kic11601584,19 05 53,+49 38 56,510.66,,,Kepler-324.xml
Kepler-325,kepler-325|koi-1832|kic11709244,19 19 20,+49 49 32,1125.08,,,Kepler-325.xml
Kepler-326,kepler-326|koi-1835|kic9471268,19 37 18,+46 00 08,386.07,,,Kepler-326.xml
Kepler-327,kepler-327|koi-1867|kic8167996,19 30 34,+44 05 15,241.74,,,Kepler-327.xml
Kepler-329,kepler-329|koi-1874|kic8978528,19 57 04,+45 13 38,390.80,,,Kepler-329.xml
Kepler-33,kepler-33,19 16 18,+46 00 18,917.8,,,Kepler-33.xml
Kepler-330,kepler-330|koi-1891|kic8680979,19 13 47,+44 48 06,719.80,,,Kepler-330.xml
Kepler-331,kepler-331|koi-1895|kic4263293,19 27 20,+39 18 26,466.86,,,Kepler-331.xml
Kepler-332,kepler-332|koi-1905|kic10328393,19 06 39,+47 24 49,379.55,,,Kepler-332.xml
Kepler-333,kepler-333|koi-1908|kic5706966,19 29 08,+40 54 48,288.94,,,Kepler-333.xml
Kepler-334,kepler-334|koi-1909|kic10130039,19 08 33,+47 06 54,439.80,,,Kepler-334.xml
Kepler-335,kepler-335|koi-1915|kic9101496,19 44 15,+45 25 43,1361.65,,,Kepler-335.xml
Kepler-336,kepler-336|koi-1916|kic6037581,19 20 57,+41 19 52,794.61,,,Kepler-336.xml
Kepler-337,kepler-337|koi-1929|kic10136549,19 20 14,+47 09 50,674.39,,,Kepler-337.xml
Kepler-338,kepler-338|koi-1930|kic5511081,18 51 54,+40 47 03,545.29,,,Kepler-338.xml
Kepler-339,kepler-339|koi-1931|kic10978763,19 33 24,+48 26 40,691.82,,,Kepler-339.xml
Kepler-34,kepler-34,19 45 45,+44 38 30,1500,,,Kepler-34.xml
Kepler-340,kepler-340|koi-1932|kic5202905,19 43 44,+40 18 02,806.00,,,Kepler-340.xml
Kepler-341,kepler-341|koi-1952|kic7747425,19 19 26,+43 28 21,1039.88,,,Kepler-341.xml
Kepler-342,kepler-342|koi-1955|kic9892816,19 30 42,+46 43 36,807.28,,,Kepler-342.xml
Kepler-343,kepler-343|koi-1960|kic6949061,19 27 50,+42 25 58,1091.93,,,Kepler-343.xml
Kepler-344,kepler-344|koi-1970|kic9650808,19 29 59,+46 19 27,1307.52,,,Kepler-344.xml
Kepler-345,kepler-345|koi-1977|kic9412760,19 40 54,+45 58 15,272.73,,,Kepler-345.xml
Kepler-346,kepler-346|koi-1978|kic9518318,19 12 02,+46 07 03,1384.64,,,Kepler-346.xml
Kepler-347,kepler-347|koi-1992|kic11450414,19 16 47,+49 18 20,1004.99,,,Kepler-347.xml
Kepler-348,kepler-348|koi-2011|kic5384079,19 49 01,+40 32 54,568.09,,,Kepler-348.xml
Kepler-349,kepler-349|koi-2022|kic8564674,19 34 42,+44 36 56,987.72,,,Kepler-349.xml
Kepler-35,kepler-35,19 37 59,+46 41 23,1645,43,43,Kepler-35.xml
Kepler-350,kepler-350|koi-2025|kic4636578,19 01 40,+39 42 21,1130.55,,,Kepler-350.xml
Kepler-351,kepler-351|koi-2028|kic7102316,19 05 48,+42 39 28,1448.51,,,Kepler-351.xml
Kepler-352,kepler-352|koi-2029|kic9489524,19 59 35,+46 03 07,279.58,,,Kepler-352.xml
Kepler-353,kepler-353|koi-2036|kic6382217,19 47 25,+41 45 29,370.06,,,Kepler-353.xml
Kepler-354,kepler-354|koi-2045|kic6026438,19 03 00,+41 20 08,633.05,,,Kepler-354.xml
Kepler-355,kepler-355|koi-2051|kic7265298,19 03 11,+42 48 42,1432.65,,,Kepler-355.xml
Kepler-356,kepler-356|koi-2053|kic2307415,19 29 41,+37 40 58,672.47,,,Kepler-356.xml
Kepler-357,kepler-357|koi-2073|kic8164257,19 24 58,+44 00 31,926.37,,,Kepler-357.xml
Kepler-358,kepler-358|koi-2080|kic10864531,19 32 55,+48 16 52,1336.21,,,Kepler-358.xml
Kepler-359,kepler-359|koi-2092|kic6696580,19 33 10,+42 11 46,2152.57,,,Kepler-359.xml
