Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
beta Pic,betapic|betpic|betapictoris|hr2020|hd39060|hip27321|sao234134|tyc8099-1392-1|cd-511620|2massj05471708-5103594,1.60,0.05,0.05,,,,0.023,0.003,0.003,,,,,,9790.0,,,a6v,3.86,,,beta Pic.xml
beta Ursae Minoris,betaursaeminoris|hd131873|betaumi|betumi|bursaeminoris|bumi|7ursaeminoris|7umi|kochab|hip72607|tyc4416-1799-1|sao8102|hr5563|bd+74595|2massj14504235+7409199,1.4,0.2,0.2,38.3,1.1,1.1,2.95,1.03,1.03,,,-0.27,0.07,0.07,4126,25,25,k4iiivar,2.08,,,beta Ursae Minoris.xml
CFBDS 1458,cfbds1458|cfbdsirj145829+101343,0.02,,,,,,,,,,,,,,540.0,,,t9.5,,,,CFBDS 1458.xml
CHXR 73,chxr73,0.35,,,,,,,,,,,,,,3840.0,,,m3.25,,,,CHXR 73.xml
CoRoT-1,corot-1,0.95,0.15,0.15,1.11,0.05,0.05,,,,,,-0.3,0.25,0.25,6298.0,150,150,g0v,13.6,,,CoRoT-1.xml
CoRoT-10,corot-10,0.89,,,0.79,,,,,,,,0.26,,,5075.0,,,k1v,15.216,,,CoRoT-10.xml
CoRoT-11,corot-11,1.27,,,1.37,,,,,,,,-0.03,,,6440.0,,,f6v,12.80,0.38,0.38,CoRoT-11.xml
CoRoT-12,corot-12,1.078,,,1.116,,,,,,,,0.16,,,5675.0,,,g2v,15.515,0.052,0.052,CoRoT-12.xml
CoRoT-13,corot-13,1.09,,,1.01,,,,,,,,0.01,,,5945.0,,,g0v,15.04,,,CoRoT-13.xml
CoRoT-14,corot-14,1.13,,,1.21,,,,,,,,0.05,,,6035.0,,,f9v,16.03,0.070,0.070,CoRoT-14.xml
CoRoT-16,corot-16,1.098,,,1.19,,,,,,,,0.19,,,5650.0,,,g5v,16.03,0.43,0.43,CoRoT-16.xml
CoRoT-17,corot-17,1.04,,,1.59,,,,,,,,,,,5740.0,,,g2v,15.88,0.43,0.43,CoRoT-17.xml
CoRoT-18,corot-18,0.95,,,1,,,,,,,,-0.1,,,5440.0,,,g9v,15.00,0.1,0.1,CoRoT-18.xml
CoRoT-19,corot-19,1.21,,,1.65,,,,,,,,-0.02,,,6090.0,,,f9v,14.007,,,CoRoT-19.xml
CoRoT-2,corot-2,0.97,0.06,0.06,0.902,0.018,0.018,,,,,,,,,5575.0,,,g7v,12.568,,,CoRoT-2.xml
CoRoT-20,corot-20,1.14,0.14,0.14,1.02,0.05,0.05,0.1,0.04,0.8,,,0.14,0.12,0.12,5880.0,90,90,g2v,14.66,,,CoRoT-20.xml
CoRoT-21,corot-21,1.29,,,1.945,,,,,,,,,,,6200.0,,,fiv8,15.84,,,CoRoT-21.xml
CoRoT-22,corot-22|2mass18424010+0613088,1.099,0.049,0.049,1.136,0.09,0.038,3.3,2,2,,,0.17,0.12,0.07,5939,120,54,g0iv,13.944,0.083,0.083,CoRoT-22.xml
CoRoT-23,corot-23,1.14,,,1.61,,,,,,,,0.05,,,5900.0,,,g0v,15.63,,,CoRoT-23.xml
CoRoT-24,corot-24|2mass06474141-0343094,0.91,0.09,0.09,0.86,0.09,0.09,11,,,,,0.3,0.15,0.15,4950,150,150,k1v,,,,CoRoT-24.xml
CoRoT-25,corot-25|2massj18423111+0630497,1.09,0.05,0.11,1.19,0.03,0.14,,,,,,-0.01,0.13,0.13,6040,90,90,f9v,14.965,0.031,0.031,CoRoT-25.xml
CoRoT-26,corot-26|2massj18390012+0658112,1.09,0.06,0.06,1.79,0.09,0.18,,,,,,0.01,0.13,0.13,5590,100,100,g5,15.756,0.06,0.06,CoRoT-26.xml
CoRoT-27,corot-27|2mass1183241962,1.05,0.11,0.11,1.08,0.06,0.18,4.21,2.72,2.72,,,0.1,0.1,0.1,5900,120,120,g2,,,,CoRoT-27.xml
CoRoT-28,corot-28|2massj18344520+0534254,1.01,0.14,0.14,1.78,0.11,0.11,12.0,1.5,1.5,,,0.15,0.10,0.10,5150,100,100,g8/9iv,13.775,0.022,0.022,CoRoT-28.xml
CoRoT-29,corot-29|2massj18353650+0628467,0.97,0.14,0.14,0.90,0.12,0.12,4.5,3.5,3.5,,,0.20,0.10,0.10,5260,100,100,k0v,15.560,0.069,0.069,CoRoT-29.xml
CoRoT-3,corot-3,1.37,0.09,0.09,1.56,0.09,0.09,,,,,,-0.02,0.06,0.06,6740,140,140,f3v,13.292,,,CoRoT-3.xml
CoRoT-4,corot-4,1.1,,,1.15,,,,,,,,0.05,,,6190.0,,,f8v,13.7,,,CoRoT-4.xml
CoRoT-5,corot-5,1.00,0.02,0.02,1.186,0.04,0.04,,,,,,-0.25,0.06,0.06,6100.0,,,f9v,14,,,CoRoT-5.xml
CoRoT-6,corot-6,1.05,0.05,0.05,1.025,0.026,0.026,,,,,,-0.2,,,6090.0,,,f5v,13.80,0.30,0.30,CoRoT-6.xml
CoRoT-7,corot-7,0.93,,,0.87,,,,,,,,0.03,,,5313.0,,,k0v,11.73,0.15,0.15,CoRoT-7.xml
CoRoT-8,corot-8,0.88,,,0.77,,,,,,,,0.3,,,5080.0,,,k1v,14.797,,,CoRoT-8.xml
CoRoT-9,corot-9,0.99,,,0.94,,,,,,,,-0.01,,,5625.0,,,g3v,13.46,0.31,0.31,CoRoT-9.xml
CT Cha,ctcha,,,,,,,,,,0.001,0.005,,,,5150.0,,,k7,12.36,,,CT Cha.xml
DH Tau,dhtau,0.4,,,,,,,,,,,,,,3840.0,,,m0.5v,13.71,,,DH Tau.xml
DP Leo,dpleo,0.6,,,0.0144,,,,,,,,,,,13500,,,amher,17.5,,,DP Leo.xml
DP Leo,dpleo,0.09,,,,,,,,,,,,,,3000,,,,,,,DP Leo.xml
EPIC 201208431,epic201208431|k2-4|2massj11385895-0354202,0.63,0.03,0.03,0.6,0.02,0.02,,,,,,-0.12,0.12,0.1,4197,43,45,,,,,EPIC 201208431.xml
EPIC 201208431 B,epic201208431b,,,,,,,,,,,,,,,,,,,,,,EPIC 201208431.xml
EPIC 201295312,epic201295312|2massj11360278-0231150,1.13,0.07,0.07,1.52,0.10,0.10,,,,,,0.13,0.07,0.07,5830,70,70,,,,,EPIC 201295312.xml
EPIC 201338508,epic201338508|k2-5|2massj11171284-0152406,0.61,0.13,0.13,0.57,0.12,0.12,,,,,,-0.33,0.19,0.19,3930,375,375,,14.91,0.03,0.03,EPIC 201338508.xml
EPIC 201367065,epic201367065|k2-3|2massj11292037-0127173,0.60,0.09,0.09,0.56,0.07,0.07,,,,1,,-0.32,0.13,0.13,3896,189,189,m0.2v,12.17,0.01,0.01,EPIC 201367065.xml
EPIC 201384232,epic201384232|k2-6|2massj11524614-0111545,0.97,0.07,0.07,0.96,0.09,0.14,,,,,,-0.14,0.2,0.17,5850,98,79,,,,,EPIC 201384232.xml
EPIC 201384232 B,epic201384232b,,,,,,,,,,,,,,,,,,,,,,EPIC 201384232.xml
EPIC 201393098,epic201393098|k2-7|2massj11082249-0103565,0.97,0.06,0.06,0.96,0.08,0.17,,,,,,-0.07,0.16,0.16,5772,91,72,,,,,EPIC 201393098.xml
EPIC 201403446,epic201403446,1.01,0.06,0.08,1.12,0.14,0.26,,,,,,-0.5,0.13,0.15,6445,111,81,,,,,EPIC 201403446.xml
EPIC 201403446 B,epic201403446b,,,,,,,,,,,,,,,,,,,,,,EPIC 201403446.xml
EPIC 201445392,epic201445392|k2-8|2massj11191047-0017036,0.78,0.04,0.04,0.74,0.04,0.04,,,,,,-0.02,0.04,0.04,4870,60,60,,14.61,0.03,0.03,EPIC 201445392.xml
EPIC 201465501,epic201465501|k2-9|2massj11450348+0000190,0.30,0.14,0.14,0.31,0.11,0.11,,,,1,,-0.25,0.20,0.20,3390,150,150,m2.5v,15.63,,,EPIC 201465501.xml
EPIC 201505350,epic201505350|k2-19|2massj11395048+0036129|wisej113950.46+003612.9,0.93,0.05,0.05,0.86,0.04,0.04,,,,,,0.10,0.04,0.04,5430,60,60,,,,,EPIC 201505350.xml
EPIC 201546283,epic201546283|k2-27|2massj11260363+0113505,0.89,0.05,0.05,0.85,0.06,0.06,,,,,,0.14,0.07,0.07,5320,70,70,,,,,EPIC 201546283.xml
EPIC 201549860,epic201549860,0.73,0.03,0.03,0.69,0.02,0.02,,,,,,0.05,0.14,0.15,4523,47,43,,,,,EPIC 201549860.xml
EPIC 201549860 B,epic201549860b,,,,,,,,,,,,,,,,,,,,,,EPIC 201549860.xml
EPIC 201565013,epic201565013,0.51,0.03,0.13,0.5,0.03,0.12,,,,,,-0.44,0.08,0.47,3987,68,142,,,,,EPIC 201565013.xml
EPIC 201577035,epic201577035|k2-10|2massj11282927+0141264,0.92,0.05,0.05,0.98,0.08,0.08,,,,,,-0.07,0.07,0.07,5620,70,70,,,,,EPIC 201577035.xml
EPIC 201596316,epic201596316|k2-11|2massj11161006+0159128,1.35,0.56,0.04,5.15,4.39,0.2,,,,,,-0.12,0.17,0.01,5433,144,49,,,,,EPIC 201596316.xml
EPIC 201613023,epic201613023|k2-12|2massj11324609+0214415,1.01,0.06,0.05,1.01,0.09,0.27,,,,,,0.03,0.17,0.13,5800,90,53,,,,,EPIC 201613023.xml
EPIC 201617985,epic201617985,0.52,0.03,0.03,0.49,0.03,0.03,,,,,,-0.08,0.11,0.1,3742,36,31,,,,,EPIC 201617985.xml
EPIC 201629650,epic201629650|k2-13|2massj11203732+0230097,0.8,0.04,0.04,0.78,0.05,0.09,,,,,,-0.54,0.14,0.12,5698,82,45,,,,,EPIC 201629650.xml
EPIC 201629650 B,epic201629650b,,,,,,,,,,,,,,,,,,,,,,EPIC 201629650.xml
EPIC 201635569,epic201635569|k2-14|2massj11521368+0235390,0.47,0.01,0.01,0.45,0.01,0.01,,,,,,-0.37,0.04,0.03,3789,16,17,,,,,EPIC 201635569.xml
EPIC 201637175 A,epic201637175a|k2-22a|2massj11175587+0237086a,0.60,0.07,0.07,0.57,0.06,0.06,,,,,,0.03,0.08,0.08,3830,100,100,m0v,,,,EPIC 201637175.xml
EPIC 201637175 B,epic201637175b|k2-22b|2massj11175587+0237086b,0.27,0.05,0.05,0.30,0.08,0.08,,,,,,0.06,0.20,0.20,3290,120,120,m4v,,,,EPIC 201637175.xml
EPIC 201702477,epic201702477,0.87,0.06,0.06,0.85,0.08,0.11,,,,,,-0.26,0.18,0.17,5618,85,86,,,,,EPIC 201702477.xml
EPIC 201702477 B,epic201702477b,,,,,,,,,,,,,,,,,,,,,,EPIC 201702477.xml
EPIC 201713348,epic201713348|tyc266-622-1|2massj11174778+0351590,0.80,0.04,0.04,0.74,0.04,0.04,,,,,,-0.03,0.04,0.04,4924,60,60,,11.80,0.03,0.03,EPIC 201713348.xml
EPIC 201736247,epic201736247|k2-15|2massj11522658+0415171,0.72,0.03,0.06,0.68,0.03,0.06,,,,,,-0.46,0.14,0.2,5131,65,69,,,,,EPIC 201736247.xml
EPIC 201754305,epic201754305|k2-16|2massj11402333+0433264,0.68,0.03,0.03,0.66,0.03,0.03,,,,,,-0.33,0.04,0.04,4742,60,60,,14.67,0.04,0.04,EPIC 201754305.xml
EPIC 201828749,epic201828749,0.74,0.04,1.06,0.71,0.06,9.64,,,,,,-0.69,0.23,0.34,5552,97,87,,,,,EPIC 201828749.xml
EPIC 201828749 B,epic201828749b,,,,,,,,,,,,,,,,,,,,,,EPIC 201828749.xml
EPIC 201855371,epic201855371|k2-17|2massj11531915+0624439,0.71,0.05,0.02,0.66,0.03,0.02,,,,,,0.15,0.22,0.09,4320,47,56,,,,,EPIC 201855371.xml
EPIC 201912552,epic201912552|k2-18|2massj11301450+0735180,0.413,0.043,0.043,0.394,0.038,0.038,,,,,,0.09,0.09,0.09,3503,60,60,m2.8,,,,EPIC 201912552.xml
EPIC 203771098,epic203771098|k2-24|2massj16101770-2459251|tyc6784-837-1,1.12,0.06,0.06,1.21,0.12,0.12,,,,3.2,6.9,0.42,0.04,0.04,5743,60,60,g3v,11.28,0.10,0.10,EPIC 203771098.xml
EPIC 203826436,epic203826436|j16134824-2447132,0.90,0.05,0.05,0.85,0.04,0.04,,,,,,-0.03,0.04,0.04,5413,60,60,,12.568,0.030,0.030,EPIC 203826436.xml
EPIC 204129699,epic204129699|tyc6794-471-1|2massj16214578-2332520,0.91,0.06,0.06,0.78,0.07,0.07,,,,,,0.08,0.05,0.05,5280,70,70,g7v,10.8,,,EPIC 204129699.xml
EPIC 204221263,epic204221263|tyc6779-268-1|2massj16000805-2311213,1.07,0.05,0.05,1.10,0.09,0.09,,,,,,0.28,0.04,0.04,5757,60,60,,11.39,0.03,0.03,EPIC 204221263.xml
EPIC 205071984,epic205071984|2massj16494226-1932340,0.87,0.04,0.04,0.87,0.05,0.05,,,,,,0.00,0.04,0.04,5315,60,60,,12.307,0.030,0.030,EPIC 205071984.xml
EPIC 206011691,epic206011691|k2-21|2massj22411288-1429202,0.64,0.11,0.11,0.60,0.10,0.10,,,,1,,-0.11,0.13,0.13,4043,375,375,m0v,12.85,0.02,0.02,EPIC 206011691.xml
EPIC 206318379,epic206318379|2massj22222988-0757195,0.264,0.050,0.050,0.293,0.030,0.030,,,,,,0.31,0.13,0.13,3214,60,60,m4v,,,,EPIC 206318379.xml
EPIC 210363145,epic210363145,0.8,0.12,0.12,0.76,0.03,0.03,0.7,0.3,0.3,,,0.29,0.06,0.06,4970,45,45,k,12.158,0.093,0.093,EPIC 210363145.xml
EPIC 210490365,epic210490365|k2-25|2massj04130560+1514520|melotte25va50|melotte25han87,0.294,0.021,0.021,0.295,0.020,0.020,,,,650,800,0.15,0.03,0.03,3180,60,60,m4.5,15.881,0.030,0.030,EPIC 210490365.xml
eps Coronae Borealis,epscoronaeborealis|epscrb|epsiloncoronaeborealis|ecrb|ecoronaeborealis|epscoronaeborealisa|epscrba|epsiloncoronaeborealisa|ecrba|ecoronaeborealisa|13crb|13coronaeborealis|hd143107|hip78159|hip78159a|tyc2037-1826-1|sao84098|hr5947|bd+272558|2massj15573525+2652400|wdsj15576+2653a,1.7,0.1,0.1,21,,,1.74,0.37,0.37,,,-0.094,0.001,0.001,4406,15,15,k2iii,4.14,,,eps Coronae Borealis.xml
eps Coronae Borealis B,epscoronaeborealisb|epscrbb|epsiloncoronaeborealisb|ecrbb|ecoronaeborealisb|hip78159b|wdsj15576+2653b,,,,,,,,,,,,,,,,,,,12.60,,,eps Coronae Borealis.xml
eps Eridani,epseridani|epseri|epsiloneridani|eeri|eeridani|18eri|18eridani|hr1084|hd22049|hip16537|tyc5296-1533-1|sao130564|gliese144|gj144|bd-09697|2massj03325591-0927298,0.82,,,0.743,0.010,0.010,0.7,0.2,0.2,,,-0.07,,,5135,100,100,k2v,3.73,,,eps Eridani.xml
eps Tau,epstau|epstauri|epsilontauri|etau|etauri|74tau|74tauri|ain|oculusborealis|hd28305|hip20889|tyc1273-1104-1|sao93954|hr1409|bd+18640|2massj04283697+1910494|melotte25s3|melotte25mmu70,2.7,0.1,0.1,13.7,0.6,0.6,,,,,,0.17,0.04,0.04,4901,20,20,k0iii,3.53,0.05,0.05,eps Tau.xml
eta Cet,etacet|etaceti|ecet|eceti|denebalgenubi|hip5364|hd6805|hr334|tyc5273-2657-1|sao147632|bd-10240|gj3075|2massj01083539-1010560,1.7,0.1,0.1,14.3,0.2,0.2,,,,,,0.12,0.1,0.1,4528,19,19,k1iii,3.45,,,eta Cet.xml
FL Lyr A,fllyra|fllyraea|hd179890a|hip94335a|sao48190a|bd+462641a|kic9641031a,1.218,0.016,0.016,1.128,0.011,0.092,,,,,,,,,6152,99,99,f8v,9.58,,,FL Lyr.xml
FL Lyr B,fllyrb|fllyraeb|hd179890b|hip94335b|sao48190b|bd+462641b|kic9641031b,0.963,0.030,0.030,1.128,0.046,0.028,,,,,,,,,5297,98,98,g8v,11.04,,,FL Lyr.xml
Fomalhaut A,fomalhauta|hd216956|hr8728|cd-3019370|cpd-306685|sao191524|gj881|2massj22573901-2937193|hip113368|iras22549-2953|alfpsa|24psa|wdsj22577-2937a,1.92,0.02,0.02,1.84,,,,,,,,,,,8590.0,73,73,a3v,1.16,,,Fomalhaut.xml
Fomalhaut B,fomalhautb|twpsa|twpiscisaustrini|alfpsab|hd216803|hip113283|hr8721|tyc7505-100-1|gj879|cd-3217321|cpd-326550|iras22536-3150|2massj22562403-3133559|wdsj22577-2937b,0.73,0.01,0.02,,,,,,,,,,,,4594,80,80,k4ve,6.488,0.012,0.012,Fomalhaut.xml
Fomalhaut C,fomalhautc|lp876-10|alfpsac|2massj22480446-2422075|wdsj22577-2937c,0.18,0.02,0.02,,,,,,,,,,,,3132,65,65,m4v,13.2,0.02,0.02,Fomalhaut.xml
FU Tau A,futaua|futau,0.05,,,,,,,,,,,,,,2838.0,,,m7.25,,,,FU Tau.xml
FW Tau A,fwtaua,0.12,0.04,0.04,,,,0.0018,0.0005,0.0010,,,,,,3270,70,70,m4,16.64,0.11,0.11,FW Tau.xml
FW Tau B,fwtaub,0.12,0.08,0.08,,,,,,,,,,,,,,,m4,16.85,0.13,0.13,FW Tau.xml
gamma Cephei A,gammacepheia|gammacepheia|gamcepa|gcepa|gcepheia|35cepa|35cepheia|erraia|alraia|gliese903a|gj903a|hr8974a|hd222404a|hip116727a|tyc4606-3584-1a|bd+76928a|2massj23392083+7737563a|wdsj23393+7738a|nhr9a,1.40,0.12,0.12,4.9,,,,,,,,0.18,,,4800.0,100,100,k1iii-iv,3.220,0.009,0.009,gamma Cephei.xml
gamma Cephei B,gammacepheib|gammacepheib|gamcepb|gcepb|gcepheib|35cepb|35cepheib|erraib|alraib|gliese903b|gj903b|hr8974b|hd222404b|hip116727b|tyc4606-3584-1b|bd+76928b|2massj23392083+7737563b|wdsj23393+7738b|nhr9b,0.409,0.018,0.018,,,,,,,,,,,,,,,m4,,,,gamma Cephei.xml
Gamma-1 Leonis,gamma-1leonis|gamma1leo|gam01leo|g1leo|g1leonis|gleoa|gammaleonisa|gammaleoa|gamleoa|algiebaa|algiebaa|hd89484|hip50583a|tyc1423-1349-1|sao81298|bd+202467a|wdsj10200+1950a|stf1424a,1.23,0.21,0.21,31.88,1.61,1.61,,,,,,-0.51,0.05,0.05,4330,15,15,k0iii,2.01,,,Gamma Leonis.xml
Gamma-2 Leonis,gamma-2leonis|gamma2leo|gam02leo|g2leo|g2leonis|gleob|gammaleonisb|gammaleob|gamleob|41leonisb|41leob|algiebab|algiebab|hd89485|hip50583b|tyc1423-1349-2|sao81299|bd+202467b|wdsj10200+1950b|stf1424b,,,,,,,,,,,,,,,,,,g7iiib,4.225,0.011,0.011,Gamma Leonis.xml
GJ 1132,gj1132|lhs281|2massj10145184-4709244,0.181,0.019,0.019,0.207,0.016,0.016,,,,5,,-0.12,0.15,0.15,3270,140,140,m3.5,13.52,,,GJ 1132.xml
GJ 160.2,gj160.2|gliese160.2|gj9144|hip19165|bd-21784|cpd-21472|lhs1628|sao169128|tyc5889-644-1|2massj04063483-2051103,0.69,,,,,,,,,,,,,,4347,,,m0v,9.675,,,GJ 160.2.xml
GJ 180,gj180|gliese180|hip22762|lhs1712|2massj04534995-1746235|tyc5903-680-1,0.43,,,,,,,,,,,,,,3371,,,m2v,10.894,,,GJ 180.xml
GJ 229 A,gj229a|gliese229a|wdsj06106-2152a|naj1a|hd42581|hip29295|bd-211377|cpd-211138|lhs1827|sao171334|tyc5945-765-1|2massj06103462-2151521,0.58,,,,,,,,,,,,,,3564,,,m1/m2v,8.125,,,GJ 229.xml
GJ 229 B,gj229b|gliese229b|wds06102-2152b|naj1b,,,,,,,,,,,,,,,1000,,,t6,,,,GJ 229.xml
GJ 27.1,gj27.1|gliese27.1|gj9018|hip3143|cd-44170|lhs1122|tyc7531-1014-1,0.53,,,,,,,,,,,,,,3542,,,m0.5v,11.401,,,GJ 27.1.xml
GJ 422,gj422|gliese422|innesstar|hd304043|hip55042|lhs40|tyc8624-3387-1|2massj11160018-5732513,0.35,,,,,,,,,,,,,,3323,,,m3.5v,11.516,,,GJ 422.xml
GJ 682,gj682|gliese682|hip86214|cd-4411909|cpd-448635|lhs451|2massj17370367-4419088,0.27,,,,,,,,,,,,,,3028,,,m3.5v,10.946,,,GJ 682.xml
Gliese 1214,gliese1214|gj1214,0.176,0.009,0.009,0.2213,0.0043,0.0043,,,,,,0.1,0.1,0.1,3250,100,100,m4.5,14.71,,,Gliese 1214.xml
Gliese 15 A,gliese15a|gj15a|hd1326a|hip1475|tyc2794-157-1|sao36248|gxandromedae|gxand|groombridge34|bd+4344a|wdsj00184+4401a|2massj00182256+4401222,0.375,0.057,0.057,0.3863,0.0021,0.0021,,,,,,-0.32,0.17,0.17,3567,11,11,m2v,8.13,0.01,0.01,Gliese 15.xml
Gliese 15 B,gliese15b|gj15b|hd1326b|gqand|gqandromedae|groombridge34b|bd+4344b|wdsj00184+4401b|2massj00182549+4401376|gqand,0.163,,,0.19,,,,,,,,,,,,,,m3.5,11.04,,,Gliese 15.xml
Gliese 163,gliese163|gj163|hip19394|lhs188|tyc8502-1934-1|2massj04091567-5322254,0.40,0.04,0.04,,,,5.5,4.5,4.5,,,,,,,,,m3.5v,11.811,0.012,0.012,Gliese 163.xml
Gliese 176,gliese176|gj176|hd285968|hip21932|tyc1275-2034-1|bd+18683|2massj04425581+1857285,0.49,,,0.53,,,,,,,,-0.1,0.2,0.2,3520,,,m2.5v,9.97,,,Gliese 176.xml
Gliese 179,gliese179|gj179|gl179|hip22627|tyc96-602-1|ross401|wolf1539|2massj04520573+0628356,0.357,0.03,0.03,0.38,0.02,0.02,,,,,,0.30,0.10,0.10,3370,100,100,m3.5v,12.018,,,Gliese 179.xml
Gliese 221,gliese221|gj221|bd-061339|hip27803,0.637,0.032,0.032,,,,3,2,2,,,-0.07,0.10,0.10,4040,50,50,k7v,9.693,,,Gliese 221.xml
Gliese 3021 A,gliese3021a|hd1237a|hip1291a,0.9,,,0.9,,,0.8,,,,,0.10,0.08,0.08,5540,75,75,g6v,6.59,,,Gliese 3021.xml
Gliese 3021 B,gliese3021b|hd1237b|hip1291b,0.13,,,,,,0.8,,,,,,,,,,,m4v,,,,Gliese 3021.xml
Gliese 317,gliese317,0.42,,,,,,,,,,,0.36,,,3510.0,,,m3.5,12,,,Gliese 317.xml
Gliese 328,gliese328|gj328b,0.69,0.05,0.05,,,,,,,,,0.00,0.15,0.15,3900,100,100,m1,9.98,0.04,0.04,Gliese 328.xml
Gliese 3293,gliese3293|gj3293|lhs1672|2massj04283571-2510088|pm04265-2516|ravej042835.7-251009,0.42,,,0.404,0.027,0.027,,,,,,0.02,0.09,0.09,3466,49,49,m2.5,11.962,,,Gliese 3293.xml
Gliese 3341,gliese3341|gj3341|lhs1748|2massj05154667-3117456|pm05138-3121|ravej051546.7-311746,0.47,,,0.439,0.027,0.027,,,,,,-0.09,0.09,0.09,3546,49,49,m2.5,12.080,,,Gliese 3341.xml
Gliese 3470,gliese3470|gj3470,0.51,0.06,0.06,0.48,0.04,0.04,,,,1,4,0.17,0.06,0.06,3652,50,50,m1.5,12.3,,,Gliese 3470.xml
Gliese 3634,gliese3634,0.45,,,0.43,,,,,,,,,,,3314.0,,,m2.5,11.95,,,Gliese 3634.xml
Gliese 433,gliese433,0.48,,,,,,,,,,,-0.22,,,3600.0,,,m1.5,9.79,,,Gliese 433.xml
Gliese 436,gliese436,0.452,0.012,0.014,0.464,0.012,0.014,,,,,,-0.32,,,3684.0,,,m2v,10.59,0.011,0.009,Gliese 436.xml
Gliese 504,gliese504|gj504|hip64792|hd115383,1.22,0.08,0.08,,,,0.16,0.06,0.35,,,0.28,0.03,0.03,6234,25,25,g0v,5.22,,,Gliese 504.xml
Gliese 581,gliese581,0.31,,,0.3,,,,,,,,-0.135,,,3498.0,,,m2.5v,10.55,,,Gliese 581.xml
Gliese 649,gliese649,0.54,,,,,,,,,,,0.08,,,3700.0,,,m1.5,9.7,,,Gliese 649.xml
Gliese 667 A,gliese667a|hr6426a|hip84709a,0.73,,,0.76,,,6,4,4,,,-0.59,0.1,0.1,,,,,,,,Gliese 667.xml
Gliese 667 B,gliese667b|hr6426b|hip84709b,0.69,,,0.70,,,6,4,4,,,-0.59,0.1,0.1,,,,,,,,Gliese 667.xml
Gliese 667 C,gliese667c|hr6426c,0.33,0.02,0.02,0.41,,,,,,2,,,,,3350,50,50,m1.5v,10.22,,,Gliese 667.xml
Gliese 674,gliese674,0.35,,,,,,,,,,,-0.28,,,3600.0,,,m2.5,9.38,,,Gliese 674.xml
Gliese 676 A,gliese676a,0.71,0.04,0.04,,,,,,,,,0.23,,,,,,m0v,9.585,,,Gliese 676.xml
Gliese 676 B,gliese676b,0.17,,,,,,,,,,,,,,,,,m3.5v,,,,Gliese 676.xml
Gliese 687,gliese687|gj687|lhs450|bd+68946|hip86162,0.413,0.041,0.041,0.4183,0.0070,0.0070,,,,,,,,,3413,28,28,m3v,9.15,,,Gliese 687.xml
Gliese 777 A,gliese777a|hd190360a|hr7670a,1.04,,,1.2,,,6.7,,,,,0.24,,,,,,g6iv,5.71,,,Gliese 777.xml
Gliese 777 B,gliese777b|hd190360b|hr7670b,0.20,,,,,,,,,,,,,,,,,m4.5,,,,Gliese 777.xml
Gliese 785,gliese785,0.80,,,,,,,,,,,-0.04,,,5166.0,,,k3v,5.73,,,Gliese 785.xml
Gliese 832,gliese832,0.45,0.05,0.05,,,,,,,,,-0.3,0.2,0.2,3472,,,m1.5,8.67,,,Gliese 832.xml
Gliese 849,gliese849|gj849|hip109388|tyc5227-1521-1|bd-055715|2massj22094029-0438267|wolf1329,0.490,0.049,0.049,0.52,,,,,,,,0.31,0.12,0.12,3601,19,19,m3.5v,10.366,,,Gliese 849.xml
Gliese 86 A,gliese86a|gj86a|hr637|hd13445a|hip10138|tyc8048-1022-1|sao232658|cd-51532a|cpd-51282a|2massj02102587-5049258|wdsj02104-5049a,0.8,,,0.855,,,2.5,,,,,-0.24,,,5188,50,50,k1v,6.17,,,Gliese 86.xml
Gliese 86 B,gliese86b|wd0208-510|hd13445b|cd-51532b|cpd-51282b|2massj02102587-5049258|wdsj02104-5049b,0.59,0.01,0.01,0.01245,0.0015,0.0015,,,,,,,,,8180,120,120,dq6,13.2,,,Gliese 86.xml
Gliese 876,gliese876,0.37,,,0.3761,0.0059,0.0059,,,,,,0.19,,,3129,19,19,m4v,10.17,,,Gliese 876.xml
GQ Lup,gqlup,0.7,,,,,,,,,,,,,,5150.0,,,k7ev,11.4,,,GQ Lup.xml
GSC 06214-00210,gsc06214-00210,0.9,0.1,0.1,,,,11,2,2,,,,,,4060,200,300,k7,,,,GSC 06214-00210.xml
GU Psc,gupsc,0.325,0.25,0.25,,,,0.1,0.03,0.03,,,0.1,0.13,0.13,,,,m3,13.55,,,GU Psc.xml
HAT-P-1,hat-p-1,1.133,,,1.115,,,,,,,,0.13,,,5975.0,,,g0v,10.4,,,HAT-P-1.xml
HAT-P-11,hat-p-11|kepler-3|koi-3|kic10748390,0.81,,,0.75,,,,,,,,0.31,,,4780.0,,,k4,9.47,0.02,0.02,HAT-P-11.xml
HAT-P-12,hat-p-12,0.73,,,0.7,,,,,,,,-0.29,,,4650.0,,,k5,12.84,,,HAT-P-12.xml
